state,date,race_eth,case_rate
Alaska,4/12/2020,NHPI,0
Alaska,4/12/2020,White,0
Alaska,4/12/2020,Black,0
Alaska,4/12/2020,Asian,0
Alaska,4/12/2020,AIAN,0
Alaska,4/12/2020,Hispanic,0
Alaska,4/15/2020,NHPI,30.2327925
Alaska,4/15/2020,White,28.31166675
Alaska,4/15/2020,Black,17.73757261
Alaska,4/15/2020,Asian,57.23705298
Alaska,4/15/2020,AIAN,11.25112511
Alaska,4/15/2020,Hispanic,28.54532998
Alaska,4/19/2020,NHPI,40.31039
Alaska,4/19/2020,White,35.54923569
Alaska,4/19/2020,Black,31.04075207
Alaska,4/19/2020,Asian,75.55290993
Alaska,4/19/2020,AIAN,12.11659628
Alaska,4/19/2020,Hispanic,39.96346198
Alaska,4/22/2020,NHPI,60.465585
Alaska,4/22/2020,White,39.16802016
Alaska,4/22/2020,Black,31.04075207
Alaska,4/22/2020,Asian,84.71083841
Alaska,4/22/2020,AIAN,15.57848093
Alaska,4/22/2020,Hispanic,41.86648398
Alaska,4/26/2020,NHPI,60.465585
Alaska,4/26/2020,White,40.44523821
Alaska,4/26/2020,Black,31.04075207
Alaska,4/26/2020,Asian,93.86876688
Alaska,4/26/2020,AIAN,15.57848093
Alaska,4/26/2020,Hispanic,47.57554997
Alaska,4/29/2020,NHPI,80.62078001
Alaska,4/29/2020,White,43.85115301
Alaska,4/29/2020,Black,31.04075207
Alaska,4/29/2020,Asian,98.44773112
Alaska,4/29/2020,AIAN,16.44395209
Alaska,4/29/2020,Hispanic,47.57554997
Alaska,5/3/2020,NHPI,100.775975
Alaska,5/3/2020,White,45.97984976
Alaska,5/3/2020,Black,35.47514523
Alaska,5/3/2020,Asian,100.7372132
Alaska,5/3/2020,AIAN,19.04036558
Alaska,5/3/2020,Hispanic,57.09065997
Alaska,5/6/2020,NHPI,131.0087675
Alaska,5/6/2020,White,47.89567683
Alaska,5/6/2020,Black,39.90953838
Alaska,5/6/2020,Asian,100.7372132
Alaska,5/6/2020,AIAN,19.04036558
Alaska,5/6/2020,Hispanic,60.89670397
Alaska,5/10/2020,NHPI,131.0087675
Alaska,5/10/2020,White,50.6629826
Alaska,5/10/2020,Black,39.90953838
Alaska,5/10/2020,Asian,103.0266954
Alaska,5/10/2020,AIAN,20.7713079
Alaska,5/10/2020,Hispanic,66.60576996
Alaska,5/13/2020,NHPI,131.0087675
Alaska,5/13/2020,White,53.2174187
Alaska,5/13/2020,Black,39.90953838
Alaska,5/13/2020,Asian,103.0266954
Alaska,5/13/2020,AIAN,20.7713079
Alaska,5/13/2020,Hispanic,70.41181396
Alaska,5/17/2020,NHPI,131.0087675
Alaska,5/17/2020,White,54.70750642
Alaska,5/17/2020,Black,39.90953838
Alaska,5/17/2020,Asian,103.0266954
Alaska,5/17/2020,AIAN,25.09866371
Alaska,5/17/2020,Hispanic,72.31483596
Alaska,5/20/2020,NHPI,141.086365
Alaska,5/20/2020,White,55.55898512
Alaska,5/20/2020,Black,39.90953838
Alaska,5/20/2020,Asian,105.3161775
Alaska,5/20/2020,AIAN,26.82960604
Alaska,5/20/2020,Hispanic,72.31483596
Alaska,5/24/2020,NHPI,141.086365
