state,date,race_eth,case_rate
Arkansas,4/12/2020,NHPI,23.38451945
Arkansas,4/12/2020,White,35.16168327
Arkansas,4/12/2020,Black,69.30955702
Arkansas,4/12/2020,Asian,43.40466166
Arkansas,4/12/2020,AIAN,23.23420074
Arkansas,4/12/2020,Hispanic,0
Arkansas,4/15/2020,NHPI,38.97419908
Arkansas,4/15/2020,White,40.82038168
Arkansas,4/15/2020,Black,94.33800816
Arkansas,4/15/2020,Asian,45.57489474
Arkansas,4/15/2020,AIAN,23.23420074
Arkansas,4/15/2020,Hispanic,0
Arkansas,4/19/2020,NHPI,31.17935926
Arkansas,4/19/2020,White,45.31278347
Arkansas,4/19/2020,Black,109.3122952
Arkansas,4/19/2020,Asian,49.91536091
Arkansas,4/19/2020,AIAN,29.04275093
Arkansas,4/19/2020,Hispanic,0
Arkansas,4/22/2020,NHPI,70.15355834
Arkansas,4/22/2020,White,50.92828572
Arkansas,4/22/2020,Black,139.9026244
Arkansas,4/22/2020,Asian,54.25582708
Arkansas,4/22/2020,AIAN,29.04275093
Arkansas,4/22/2020,Hispanic,37.07679639
Arkansas,4/26/2020,NHPI,202.6658352
Arkansas,4/26/2020,White,57.88286926
Arkansas,4/26/2020,Black,172.8460558
Arkansas,4/26/2020,Asian,58.59629324
Arkansas,4/26/2020,AIAN,29.04275093
Arkansas,4/26/2020,Hispanic,46.13043272
Arkansas,4/29/2020,NHPI,241.6400343
Arkansas,4/29/2020,White,68.72510821
Arkansas,4/29/2020,Black,219.4802639
Arkansas,4/29/2020,Asian,86.80932332
Arkansas,4/29/2020,AIAN,46.46840149
Arkansas,4/29/2020,Hispanic,53.89069243
Arkansas,5/3/2020,NHPI,288.4090732
Arkansas,5/3/2020,White,76.11165346
Arkansas,5/3/2020,Black,243.6530415
Arkansas,5/3/2020,Asian,88.9795564
Arkansas,5/3/2020,AIAN,52.27695167
Arkansas,5/3/2020,Hispanic,66.39333307
Arkansas,5/6/2020,NHPI,311.7935926
Arkansas,5/6/2020,White,77.92589265
Arkansas,5/6/2020,Black,252.6376137
Arkansas,5/6/2020,Asian,93.32002257
Arkansas,5/6/2020,AIAN,52.27695167
Arkansas,5/6/2020,Hispanic,69.84233739
Arkansas,5/10/2020,NHPI,413.1265103
Arkansas,5/10/2020,White,83.02304084
Arkansas,5/10/2020,Black,282.8001061
Arkansas,5/10/2020,Asian,95.49025565
Arkansas,5/10/2020,AIAN,52.27695167
Arkansas,5/10/2020,Hispanic,82.34497803
Arkansas,5/13/2020,NHPI,491.0749084
Arkansas,5/13/2020,White,92.52619848
Arkansas,5/13/2020,Black,331.3595797
Arkansas,5/13/2020,Asian,106.3414211
Arkansas,5/13/2020,AIAN,63.89405204
Arkansas,5/13/2020,Hispanic,96.57212084
Arkansas,5/17/2020,NHPI,709.3304233
Arkansas,5/17/2020,White,101.6837867
Arkansas,5/17/2020,Black,380.9886452
Arkansas,5/17/2020,Asian,119.3628196
Arkansas,5/17/2020,AIAN,75.51115242
Arkansas,5/17/2020,Hispanic,115.5416446
Arkansas,5/20/2020,NHPI,904.2014187
Arkansas,5/20/2020,White,107.040112
Arkansas,5/20/2020,Black,402.8083206
Arkansas,5/20/2020,Asian,128.0437519
Arkansas,5/20/2020,AIAN,104.5539033
Arkansas,5/20/2020,Hispanic,139.6846748
Arkansas,5/24/2020,NHPI,1340.712448
Arkansas,5/24/2020,White,123.6274417
Arkansas,5/24/2020,Black,451.3677942
Arkansas,5/24/2020,Asian,132.3842181
Arkansas,5/24/2020,AIAN,127.7881041
Arkansas,5/24/2020,Hispanic,234.5322935
Arkansas,5/27/2020,NHPI,1481.019565
Arkansas,5/27/2020,White,130.1068673
Arkansas,5/27/2020,Black,469.3369386
Arkansas,5/27/2020,Asian,134.5544511
Arkansas,5/27/2020,AIAN,127.7881041
Arkansas,5/27/2020,Hispanic,290.147488
Arkansas,5/31/2020,NHPI,2299.477746
Arkansas,5/31/2020,White,149.5883405
Arkansas,5/31/2020,Black,507.4144113
Arkansas,5/31/2020,Asian,160.5972481
Arkansas,5/31/2020,AIAN,151.0223048
Arkansas,5/31/2020,Hispanic,444.4904312
Arkansas,6/3/2020,NHPI,2697.014576
Arkansas,6/3/2020,White,164.8365889
Arkansas,6/3/2020,Black,538.0047404
Arkansas,6/3/2020,Asian,173.6186466
Arkansas,6/3/2020,AIAN,156.830855
Arkansas,6/3/2020,Hispanic,584.6062315
Arkansas,6/7/2020,NHPI,3507.677917
Arkansas,6/7/2020,White,193.0436886
Arkansas,6/7/2020,Black,582.9276015
Arkansas,6/7/2020,Asian,188.8102782
Arkansas,6/7/2020,AIAN,174.2565056
Arkansas,6/7/2020,Hispanic,789.3908627
Arkansas,6/10/2020,NHPI,4372.905137
Arkansas,6/10/2020,White,214.8145588
Arkansas,6/10/2020,Black,624.6416867
Arkansas,6/10/2020,Asian,201.8316767
Arkansas,6/10/2020,AIAN,191.6821561
Arkansas,6/10/2020,Hispanic,949.7695634
Arkansas,6/14/2020,NHPI,5362.849793
Arkansas,6/14/2020,White,246.2613714
Arkansas,6/14/2020,Black,725.1833281
Arkansas,6/14/2020,Asian,240.8958722
Arkansas,6/14/2020,AIAN,209.1078067
Arkansas,6/14/2020,Hispanic,1141.620428
Arkansas,6/17/2020,NHPI,6282.640892
Arkansas,6/17/2020,White,272.2654664
Arkansas,6/17/2020,Black,764.7582294
Arkansas,6/17/2020,Asian,266.9386692
Arkansas,6/17/2020,AIAN,232.3420074
Arkansas,6/17/2020,Hispanic,1310.62164
Arkansas,6/21/2020,NHPI,7623.35334
Arkansas,6/21/2020,White,312.1355323
Arkansas,6/21/2020,Black,817.8099891
Arkansas,6/21/2020,Asian,336.3861279
Arkansas,6/21/2020,AIAN,249.767658
Arkansas,6/21/2020,Hispanic,1566.71021
Arkansas,6/24/2020,NHPI,8699.041235
Arkansas,6/24/2020,White,344.0143066
Arkansas,6/24/2020,Black,881.5576681
Arkansas,6/24/2020,Asian,364.5991579
Arkansas,6/24/2020,AIAN,255.5762082
Arkansas,6/24/2020,Hispanic,1743.040556
Arkansas,6/28/2020,NHPI,10741.28927
Arkansas,6/28/2020,White,395.1585731
Arkansas,6/28/2020,Black,957.4986951
Arkansas,6/28/2020,Asian,486.1322106
Arkansas,6/28/2020,AIAN,290.4275093
Arkansas,6/28/2020,Hispanic,2076.731724
Arkansas,7/1/2020,NHPI,11411.64549
Arkansas,7/1/2020,White,426.5189934
Arkansas,7/1/2020,Black,1022.102048
Arkansas,7/1/2020,Asian,559.9201354
Arkansas,7/1/2020,AIAN,331.0873606
Arkansas,7/1/2020,Hispanic,2291.863368
Arkansas,7/5/2020,NHPI,12230.10367
Arkansas,7/5/2020,White,479.0455374
Arkansas,7/5/2020,Black,1105.744136
Arkansas,7/5/2020,Asian,703.1555189
Arkansas,7/5/2020,AIAN,365.9386617
Arkansas,7/5/2020,Hispanic,2507.426137
Arkansas,7/8/2020,NHPI,12884.87022
Arkansas,7/8/2020,White,516.4102254
Arkansas,7/8/2020,Black,1170.347489
Arkansas,7/8/2020,Asian,761.7518121
Arkansas,7/8/2020,AIAN,394.9814126
Arkansas,7/8/2020,Hispanic,2689.361115
Arkansas,7/12/2020,NHPI,13586.4058
Arkansas,7/12/2020,White,584.9625489
Arkansas,7/12/2020,Black,1292.494887
Arkansas,7/12/2020,Asian,857.2420678
Arkansas,7/12/2020,AIAN,429.8327138
Arkansas,7/12/2020,Hispanic,2953.641071
Arkansas,7/15/2020,NHPI,14280.14654
Arkansas,7/15/2020,White,633.8174184
Arkansas,7/15/2020,Black,1378.490078
Arkansas,7/15/2020,Asian,922.3490603
Arkansas,7/15/2020,AIAN,453.0669145
Arkansas,7/15/2020,Hispanic,3157.132325
Arkansas,7/19/2020,NHPI,14864.75953
Arkansas,7/19/2020,White,700.4691104
Arkansas,7/19/2020,Black,1506.199355
Arkansas,7/19/2020,Asian,996.1369851
Arkansas,7/19/2020,AIAN,522.7695167
Arkansas,7/19/2020,Hispanic,3417.101026
Arkansas,7/22/2020,NHPI,15472.75703
Arkansas,7/22/2020,White,751.872554
Arkansas,7/22/2020,Black,1608.88018
Arkansas,7/22/2020,Asian,1080.776075
Arkansas,7/22/2020,AIAN,586.6635688
Arkansas,7/22/2020,Hispanic,3626.196912
Arkansas,7/26/2020,NHPI,16150.9081
Arkansas,7/26/2020,White,826.7315185
Arkansas,7/26/2020,Black,1745.787947
Arkansas,7/26/2020,Asian,1217.50076
Arkansas,7/26/2020,AIAN,656.366171
Arkansas,7/26/2020,Hispanic,3893.494747
Arkansas,7/29/2020,NHPI,16392.54813
Arkansas,7/29/2020,White,886.687804
Arkansas,7/29/2020,Black,1855.314161
Arkansas,7/29/2020,Asian,1273.92682
Arkansas,7/29/2020,AIAN,697.0260223
