state,date,race_eth,case_rate
California,4/11/2020,NHPI,0
California,4/11/2020,White,0
California,4/11/2020,Black,0
California,4/11/2020,Asian,0
California,4/11/2020,AIAN,0
California,4/11/2020,Hispanic,0
California,4/12/2020,NHPI,190.347278
California,4/12/2020,White,30.1126749
California,4/12/2020,Black,43.50850764
California,4/12/2020,Asian,30.34538963
California,4/12/2020,AIAN,18.11314679
California,4/12/2020,Hispanic,30.36299087
California,4/15/2020,NHPI,223.4818042
California,4/15/2020,White,34.27815711
California,4/15/2020,Black,51.15127194
California,4/15/2020,Asian,35.65064853
California,4/15/2020,AIAN,20.79657594
California,4/15/2020,Hispanic,37.70815085
California,4/19/2020,NHPI,26.78961691
California,4/19/2020,White,40.54727749
California,4/19/2020,Black,62.5233369
California,4/19/2020,Asian,43.58261541
California,4/19/2020,AIAN,25.49257696
California,4/19/2020,Hispanic,48.58463775
California,4/22/2020,NHPI,35.24949593
California,4/22/2020,White,48.63444278
California,4/22/2020,Black,75.04642059
California,4/22/2020,Asian,52.18854026
California,4/22/2020,AIAN,33.54286443
California,4/22/2020,Hispanic,62.28618618
California,4/26/2020,NHPI,40.88941528
California,4/26/2020,White,53.90746959
California,4/26/2020,Black,84.66893709
California,4/26/2020,Asian,59.41198722
California,4/26/2020,AIAN,38.90972273
California,4/26/2020,Hispanic,77.63782737
California,4/29/2020,NHPI,50.05428422
California,4/29/2020,White,58.08688318
California,4/29/2020,Black,91.02256043
California,4/29/2020,Asian,64.30250275
California,4/29/2020,AIAN,47.63086749
California,4/29/2020,Hispanic,87.37144846
California,5/3/2020,NHPI,290.4558465
California,5/3/2020,White,65.81879832
California,5/3/2020,Black,105.3872741
California,5/3/2020,Asian,73.34045194
California,5/3/2020,AIAN,46.9600102
California,5/3/2020,Hispanic,109.9655201
California,5/6/2020,NHPI,301.7356852
California,5/6/2020,White,69.64296175
California,5/6/2020,Black,113.0760791
California,5/6/2020,Asian,78.09271968
California,5/6/2020,AIAN,49.64343935
California,5/6/2020,Hispanic,124.1293513
California,5/10/2020,NHPI,320.0654231
California,5/10/2020,White,74.81150322
California,5/10/2020,Black,126.1976925
California,5/10/2020,Asian,85.2816047
California,5/10/2020,AIAN,56.35201224
California,5/10/2020,Hispanic,144.6238886
California,5/13/2020,NHPI,336.2801912
California,5/13/2020,White,78.0853772
California,5/13/2020,Black,132.0909084
California,5/13/2020,Asian,89.96474854
California,5/13/2020,AIAN,61.04801326
California,5/13/2020,Hispanic,157.3751891
California,5/17/2020,NHPI,370.8246972
California,5/17/2020,White,86.73676333
California,5/17/2020,Black,148.297252
California,5/17/2020,Asian,100.2987708
California,5/17/2020,AIAN,69.76915801
California,5/17/2020,Hispanic,187.532721
California,5/20/2020,NHPI,385.6294855
California,5/20/2020,White,91.84261359
California,5/20/2020,Black,157.3672795
California,5/20/2020,Asian,105.7422774
California,5/20/2020,AIAN,75.8068736
California,5/20/2020,Hispanic,201.8121229
California,5/24/2020,NHPI,398.319304
California,5/24/2020,White,99.03817065
California,5/24/2020,Black,168.5091407
California,5/24/2020,Asian,112.6373859
California,5/24/2020,AIAN,84.52801835
California,5/24/2020,Hispanic,229.6004554
California,5/27/2020,NHPI,413.8290822
California,5/27/2020,White,101.9776915
California,5/27/2020,Black,174.8167233
California,5/27/2020,Asian,116.0590187
California,5/27/2020,AIAN,93.24916311
California,5/27/2020,Hispanic,242.4930089
California,5/31/2020,NHPI,431.4538302
California,5/31/2020,White,110.3574158
California,5/31/2020,Black,190.4705779
California,5/31/2020,Asian,124.5785387
California,5/31/2020,AIAN,108.0080235
California,5/31/2020,Hispanic,275.4242376
California,6/3/2020,NHPI,459.653427
California,6/3/2020,White,114.2512361
California,6/3/2020,Black,197.8831385
California,6/3/2020,Asian,127.654552
California,6/3/2020,AIAN,116.0583109
California,6/3/2020,Hispanic,288.7662327
California,6/7/2020,NHPI,481.5081144
California,6/7/2020,White,121.8020433
California,6/7/2020,Black,210.6364259
California,6/7/2020,Asian,135.1544945
California,6/7/2020,AIAN,125.450313
California,6/7/2020,Hispanic,322.968739
California,6/10/2020,NHPI,499.1328624
California,6/10/2020,White,125.8282118
California,6/10/2020,Black,216.9900492
California,6/10/2020,Asian,138.5761273
California,6/10/2020,AIAN,128.1337421
California,6/10/2020,Hispanic,347.6816068
California,6/14/2020,NHPI,523.8075096
California,6/14/2020,White,132.661553
California,6/14/2020,Black,228.6383587
California,6/14/2020,Asian,144.2961295
California,6/14/2020,AIAN,136.8548869
California,6/14/2020,Hispanic,383.3223263
California,6/17/2020,NHPI,540.7272676
California,6/17/2020,White,137.683815
California,6/17/2020,Black,236.09696
California,6/17/2020,Asian,147.5449526
California,6/17/2020,AIAN,140.2091733
California,6/17/2020,Hispanic,405.7944067
California,6/21/2020,NHPI,561.1719752
California,6/21/2020,White,147.5124026
California,6/21/2020,Black,252.5335073
California,6/21/2020,Asian,154.5091849
California,6/21/2020,AIAN,152.2846045
California,6/21/2020,Hispanic,445.5378859
California,6/24/2020,NHPI,599.2414308
California,6/24/2020,White,156.7280095
California,6/24/2020,Black,269.1081769
California,6/24/2020,Asian,160.0045345
California,6/24/2020,AIAN,163.6891784
California,6/24/2020,Hispanic,470.9955427
California,6/28/2020,NHPI,634.4909268
California,6/28/2020,White,168.8622403
California,6/28/2020,Black,290.4710843
California,6/28/2020,Asian,168.0401872
California,6/28/2020,AIAN,178.4480387
California,6/28/2020,Hispanic,519.2655713
California,7/1/2020,NHPI,671.1504025
California,7/1/2020,White,181.9925647
California,7/1/2020,Black,311.8800325
California,7/1/2020,Asian,176.4041785
California,7/1/2020,AIAN,199.915472
California,7/1/2020,Hispanic,552.2289029
California,7/5/2020,NHPI,725.4346263
California,7/5/2020,White,206.1704723
California,7/5/2020,Black,342.1748453
California,7/5/2020,Asian,190.3153622
California,7/5/2020,AIAN,230.10405
California,7/5/2020,Hispanic,612.396293
California,7/8/2020,NHPI,791.7036786
California,7/8/2020,White,226.0157211
California,7/8/2020,Black,374.0810842
California,7/8/2020,Asian,201.0641278
California,7/8/2020,AIAN,255.5966269
California,7/8/2020,Hispanic,651.4591892
California,7/12/2020,NHPI,876.3024689
California,7/12/2020,White,254.1153118
California,7/12/2020,Black,415.3335952
California,7/12/2020,Asian,215.5455837
California,7/12/2020,AIAN,299.2023507
California,7/12/2020,Hispanic,724.5897593
California,7/15/2020,NHPI,950.3264103
California,7/15/2020,White,275.3397672
California,7/15/2020,Black,446.4571414
California,7/15/2020,Asian,227.5385793
California,7/15/2020,AIAN,323.3532131
California,7/15/2020,Hispanic,784.461802
California,7/19/2020,NHPI,1054.664918
California,7/19/2020,White,303.3000441
California,7/19/2020,Black,491.623116
California,7/19/2020,Asian,245.1651724
California,7/19/2020,AIAN,368.9715087
California,7/19/2020,Hispanic,883.839762
California,7/22/2020,NHPI,1120.933971
California,7/22/2020,White,324.3364258
California,7/22/2020,Black,524.6803736
California,7/22/2020,Asian,257.8321261
California,7/22/2020,AIAN,393.7932284
California,7/22/2020,Hispanic,943.2045777
California,7/26/2020,NHPI,1225.272479
California,7/26/2020,White,355.0202872
California,7/26/2020,Black,575.6474826
California,7/26/2020,Asian,278.0508652
California,7/26/2020,AIAN,444.107525
California,7/26/2020,Hispanic,1046.4991
California,7/29/2020,NHPI,1273.211793
California,7/29/2020,White,370.5328773
California,7/29/2020,Black,603.0877689
California,7/29/2020,Asian,288.5749781
California,7/29/2020,AIAN,478.3212467
California,7/29/2020,Hispanic,1094.056443
California,8/2/2020,NHPI,1358.515573
California,8/2/2020,White,394.5087799
California,8/2/2020,Black,645.6754615
California,8/2/2020,Asian,307.1865866
California,8/2/2020,AIAN,514.5475403
California,8/2/2020,Hispanic,1216.156886
California,8/5/2020,NHPI,1395.175049
California,8/5/2020,White,406.6290793
California,8/5/2020,Black,666.4398392
California,8/5/2020,Asian,317.8316664
California,8/5/2020,AIAN,531.3189725
California,8/5/2020,Hispanic,1271.528092
California,8/9/2020,NHPI,1478.363859
California,8/9/2020,White,431.3990705
California,8/9/2020,Black,713.7236883
California,8/9/2020,Asian,339.7266599
California,8/9/2020,AIAN,564.8618369
California,8/9/2020,Hispanic,1370.219049
California,8/12/2020,NHPI,1548.862851
California,8/12/2020,White,449.6422109
California,8/12/2020,Black,743.1437268
California,8/12/2020,Asian,352.5145804
California,8/12/2020,AIAN,592.3669858
California,8/12/2020,Hispanic,1430.386439
California,8/16/2020,NHPI,1622.886793
California,8/16/2020,White,474.1057117
California,8/16/2020,Black,788.6780274
California,8/16/2020,Asian,372.1803283
California,8/16/2020,AIAN,644.022997
California,8/16/2020,Hispanic,1513.334098
California,8/19/2020,NHPI,1690.565825
California,8/19/2020,White,491.1995133
California,8/19/2020,Black,820.0778181
California,8/19/2020,Asian,387.9060143
California,8/19/2020,AIAN,672.8698604
California,8/19/2020,Hispanic,1576.288026
California,8/23/2020,NHPI,1761.064817
California,8/23/2020,White,512.4030716
California,8/23/2020,Black,858.7060063
California,8/23/2020,Asian,407.5544813
California,8/23/2020,AIAN,698.3624374
California,8/23/2020,Hispanic,1670.401098
California,8/26/2020,NHPI,1796.314313
California,8/26/2020,White,526.4528669
California,8/26/2020,Black,882.5090735
California,8/26/2020,Asian,419.0981717
California,8/26/2020,AIAN,721.1715852
California,8/26/2020,Hispanic,1710.638963
California,8/30/2020,NHPI,1849.893547
California,8/30/2020,White,547.4126261
California,8/30/2020,Black,915.0138422
California,8/30/2020,Asian,437.208632
California,8/30/2020,AIAN,775.5110255
California,8/30/2020,Hispanic,1792.91246
California,9/2/2020,NHPI,1878.093143
California,9/2/2020,White,558.4114495
California,9/2/2020,Black,932.09496
California,9/2/2020,Asian,446.0564905
California,9/2/2020,AIAN,787.5864567
California,9/2/2020,Hispanic,1828.045952
California,9/6/2020,NHPI,1937.312296
California,9/6/2020,White,579.9563265
California,9/6/2020,Black,971.5518817
California,9/6/2020,Asian,464.6335371
California,9/6/2020,AIAN,825.1544649
California,9/6/2020,Hispanic,1912.296992
California,9/9/2020,NHPI,1958.461994
California,9/9/2020,White,589.6177376
California,9/9/2020,Black,986.8374103
California,9/9/2020,Asian,472.3754133
California,9/9/2020,AIAN,836.5590388
California,9/9/2020,Hispanic,1947.430485
California,9/13/2020,NHPI,2003.581349
California,9/13/2020,White,607.993226
California,9/13/2020,Black,1017.086182
California,9/13/2020,Asian,489.569982
California,9/13/2020,AIAN,866.0767595
California,9/13/2020,Hispanic,2013.38283
California,9/16/2020,NHPI,2026.141026
California,9/16/2020,White,617.2645585
California,9/16/2020,Black,1028.780532
California,9/16/2020,Asian,497.2254533
California,9/16/2020,AIAN,882.1773344
California,9/16/2020,Hispanic,2041.909531
California,9/20/2020,NHPI,2071.260381
California,9/20/2020,White,635.2847967
California,9/20/2020,Black,1055.300004
California,9/20/2020,Asian,512.3290242
California,9/20/2020,AIAN,924.4413436
California,9/20/2020,Hispanic,2107.720624
California,9/23/2020,NHPI,2091.705089
California,9/23/2020,White,644.8904823
California,9/23/2020,Black,1069.618677
California,9/23/2020,Asian,519.690719
California,9/23/2020,AIAN,945.2379195
California,9/23/2020,Hispanic,2134.237678
California,9/27/2020,NHPI,2138.939413
California,9/27/2020,White,665.2163637
California,9/27/2020,Black,1097.979778
California,9/27/2020,Asian,532.9625067
California,9/27/2020,AIAN,992.868787
California,9/27/2020,Hispanic,2193.275044
California,9/30/2020,NHPI,2157.269151
California,9/30/2020,White,674.4737648
California,9/30/2020,Black,1109.489965
California,9/30/2020,Asian,539.4774337
California,9/30/2020,AIAN,1012.994506
California,9/30/2020,Hispanic,2214.591417
California,10/4/2020,NHPI,2199.568546
California,10/4/2020,White,691.0521054
California,10/4/2020,Black,1131.727647
California,10/4/2020,Asian,552.8183453
California,10/4/2020,AIAN,1051.904228
California,10/4/2020,Hispanic,2258.983407
California,10/7/2020,NHPI,2221.423234
California,10/7/2020,White,699.2298246
California,10/7/2020,Black,1141.902652
California,10/7/2020,Asian,559.1950246
California,10/7/2020,AIAN,1065.321374
California,10/7/2020,Hispanic,2279.86318
California,10/11/2020,NHPI,2254.55776
California,10/11/2020,White,717.1525432
California,10/11/2020,Black,1165.383434
California,10/11/2020,Asian,570.9288057
California,10/11/2020,AIAN,1106.243669
California,10/11/2020,Hispanic,2330.675764
California,10/14/2020,NHPI,2270.067538
California,10/14/2020,White,725.4068851
California,10/14/2020,Black,1174.729706
California,10/14/2020,Asian,576.1822216
California,10/14/2020,AIAN,1124.356816
California,10/14/2020,Hispanic,2351.953614
California,10/18/2020,NHPI,2309.546973
California,10/18/2020,White,741.1772057
California,10/18/2020,Black,1193.744536
California,10/18/2020,Asian,587.0346731
California,10/18/2020,AIAN,1163.266538
California,10/18/2020,Hispanic,2399.645789
California,10/21/2020,NHPI,2344.091479
California,10/21/2020,White,752.3432056
California,10/21/2020,Black,1207.050312
California,10/21/2020,Asian,595.3468214
California,10/21/2020,AIAN,1179.367113
California,10/21/2020,Hispanic,2425.019978
California,10/25/2020,NHPI,2375.111036
California,10/25/2020,White,769.262865
California,10/25/2020,Black,1228.735505
California,10/25/2020,Asian,607.3052551
California,10/25/2020,AIAN,1206.201405
California,10/25/2020,Hispanic,2475.761935
California,10/28/2020,NHPI,2408.950552
California,10/28/2020,White,786.7119167
California,10/28/2020,Black,1248.11866
California,10/28/2020,Asian,618.0194587
California,10/28/2020,AIAN,1226.327123
California,10/28/2020,Hispanic,2518.69645
California,11/1/2020,NHPI,2477.334574
California,11/1/2020,White,810.7017507
California,11/1/2020,Black,1276.203517
California,11/1/2020,Asian,632.9329389
California,11/1/2020,AIAN,1260.540845
California,11/1/2020,Hispanic,2577.88791
California,11/4/2020,NHPI,2525.273889
California,11/4/2020,White,827.3636795
California,11/4/2020,Black,1293.699001
California,11/4/2020,Asian,642.5930032
California,11/4/2020,AIAN,1273.957991
California,11/4/2020,Hispanic,2613.477264
California,11/8/2020,NHPI,2559.818395
California,11/8/2020,White,841.5388573
California,11/8/2020,Black,1309.675141
California,11/8/2020,Asian,651.7692002
California,11/8/2020,AIAN,1306.829998
California,11/8/2020,Hispanic,2643.371552
California,11/11/2020,NHPI,2654.287044
California,11/11/2020,White,882.6573213
California,11/11/2020,Black,1357.373357
California,11/11/2020,Asian,677.3450411
California,11/11/2020,AIAN,1355.80258
California,11/11/2020,Hispanic,2726.569614
California,11/15/2020,NHPI,2765.675451
California,11/15/2020,White,928.8259101
California,11/15/2020,Black,1407.511732
California,11/15/2020,Asian,706.3252338
California,11/15/2020,AIAN,1426.242595
California,11/15/2020,Hispanic,2819.918636
California,11/18/2020,NHPI,2836.879433
California,11/18/2020,White,963.4105575
California,11/18/2020,Black,1447.106776
California,11/18/2020,Asian,729.8792008
California,11/18/2020,AIAN,1474.54432
California,11/18/2020,Hispanic,2888.387854
California,11/22/2020,NHPI,2986.337295
California,11/22/2020,White,1030.03041
California,11/22/2020,Black,1519.25263
California,11/22/2020,Asian,772.7014534
California,11/22/2020,AIAN,1577.185485
California,11/22/2020,Hispanic,3032.986061
California,11/25/2020,NHPI,3116.05544
California,11/25/2020,White,1083.48511
California,11/25/2020,Black,1573.442591
California,11/25/2020,Asian,807.8336727
California,11/25/2020,AIAN,1636.891784
California,11/25/2020,Hispanic,3134.662593
California,11/29/2020,NHPI,3271.153223
California,11/29/2020,White,1152.912135
California,11/29/2020,Black,1641.352696
California,11/29/2020,Asian,855.425474
California,11/29/2020,AIAN,1748.924951
California,11/29/2020,Hispanic,3262.040765
California,12/2/2020,NHPI,3406.511287
California,12/2/2020,White,1207.293272
California,12/2/2020,Black,1704.060196
California,12/2/2020,Asian,898.0921978
California,12/2/2020,AIAN,1818.694109
California,12/2/2020,Hispanic,3375.820119
California,12/6/2020,NHPI,3694.852164
California,12/6/2020,White,1318.117389
California,12/6/2020,Black,1828.324177
California,12/6/2020,Asian,979.4510215
California,12/6/2020,AIAN,1978.358144
California,12/6/2020,Hispanic,3611.224791
California,12/9/2020,NHPI,3926.088857
California,12/9/2020,White,1406.121908
California,12/9/2020,Black,1927.265746
California,12/9/2020,Asian,1042.906757
California,12/9/2020,AIAN,2072.949022
California,12/9/2020,Hispanic,3792.946874
California,12/13/2020,NHPI,4277.878826
California,12/13/2020,White,1542.224511
California,12/13/2020,Black,2095.866968
California,12/13/2020,Asian,1156.321786
California,12/13/2020,AIAN,2294.331927
California,12/13/2020,Hispanic,4131.318619
California,12/16/2020,NHPI,4594.4193
California,12/16/2020,White,1655.458756
California,12/16/2020,Black,2234.817948
California,12/16/2020,Asian,1246.822245
California,12/16/2020,AIAN,2476.134252
California,12/16/2020,Hispanic,4359.179094
California,12/20/2020,NHPI,5159.116225
California,12/20/2020,White,1835.480031
California,12/20/2020,Black,2465.666263
California,12/20/2020,Asian,1404.718501
California,12/20/2020,AIAN,2788.753748
California,12/20/2020,Hispanic,4811.63196
California,12/23/2020,NHPI,5496.101406
California,12/23/2020,White,1958.020437
California,12/23/2020,Black,2624.230602
California,12/23/2020,Asian,1504.066818
California,12/23/2020,AIAN,2967.201787
California,12/23/2020,Hispanic,5069.399563
California,12/27/2020,NHPI,5496.101406
California,12/27/2020,White,1958.020437
California,12/27/2020,Black,2624.230602
California,12/27/2020,Asian,1504.066818
California,12/27/2020,AIAN,2967.201787
California,12/27/2020,Hispanic,5069.399563
California,12/30/2020,NHPI,6283.575145
California,12/30/2020,White,2223.002225
California,12/30/2020,Black,2970.457033
California,12/30/2020,Asian,1737.930234
California,12/30/2020,AIAN,3414.663599
California,12/30/2020,Hispanic,5698.791169
California,1/3/2021,NHPI,6283.575145
California,1/3/2021,White,2223.002225
California,1/3/2021,Black,2970.457033
California,1/3/2021,Asian,1737.930234
California,1/3/2021,AIAN,3414.663599
California,1/3/2021,Hispanic,5698.791169
California,1/6/2021,NHPI,7151.417735
California,1/6/2021,White,2507.801398
California,1/6/2021,Black,3331.554626
California,1/6/2021,Asian,1984.961751
California,1/6/2021,AIAN,3787.660251
California,1/6/2021,Hispanic,6361.871634
California,1/10/2021,NHPI,7847.242784
California,1/10/2021,White,2726.342934
California,1/10/2021,Black,3609.226382
California,1/10/2021,Asian,2184.556996
California,1/10/2021,AIAN,4200.237483
California,1/10/2021,Hispanic,6922.145542
California,1/13/2021,NHPI,8239.922169
California,1/13/2021,White,2849.538116
California,1/13/2021,Black,3781.096497
California,1/13/2021,Asian,2302.534203
California,1/13/2021,AIAN,4366.610091
California,1/13/2021,Hispanic,7277.08242
California,1/17/2021,NHPI,8792.634265
California,1/17/2021,White,3037.618693
California,1/17/2021,Black,4037.267224
California,1/17/2021,Asian,2483.103096
California,1/17/2021,AIAN,4667.154156
California,1/17/2021,Hispanic,7749.509756
California,1/20/2021,NHPI,9045.020656
California,1/20/2021,White,3124.648015
California,1/20/2021,Black,4168.759602
California,1/20/2021,Asian,2565.999926
California,1/20/2021,AIAN,4799.983899
California,1/20/2021,Hispanic,7999.418551
California,1/24/2021,NHPI,9356.6262
California,1/24/2021,White,3234.176514
California,1/24/2021,Black,4319.404933
California,1/24/2021,Asian,2668.579786
California,1/24/2021,AIAN,5018.012518
California,1/24/2021,Hispanic,8281.590833
California,1/27/2021,NHPI,9611.127561
California,1/27/2021,White,3309.998042
California,1/27/2021,Black,4422.352047
California,1/27/2021,Asian,2740.347669
California,1/27/2021,AIAN,5141.450259
California,1/27/2021,Hispanic,8457.598587
California,1/31/2021,NHPI,9871.973831
California,1/31/2021,White,3408.938693
California,1/31/2021,Black,4556.146463
California,1/31/2021,Asian,2842.443661
California,1/31/2021,AIAN,5305.810295
California,1/31/2021,Hispanic,8704.88778
California,2/3/2021,NHPI,9992.527107
California,2/3/2021,White,3458.813028
California,2/3/2021,Black,4626.450686
California,2/3/2021,Asian,2891.400659
California,2/3/2021,AIAN,5386.31317
California,2/3/2021,Hispanic,8829.582144
California,2/7/2021,NHPI,10199.08915
California,2/7/2021,White,3536.348116
California,2/7/2021,Black,4728.523027
California,2/7/2021,Asian,2962.701956
California,2/7/2021,AIAN,5513.776054
California,2/7/2021,Hispanic,9007.824265
California,2/10/2021,NHPI,10285.09792
California,2/10/2021,White,3573.934976
California,2/10/2021,Black,4782.25258
California,2/10/2021,Asian,3001.238527
California,2/10/2021,AIAN,5581.532641
California,2/10/2021,Hispanic,9090.874653
California,2/14/2021,NHPI,10452.18053
California,2/14/2021,White,3629.632627
California,2/14/2021,Black,4863.054095
California,2/14/2021,Asian,3051.629846
California,2/14/2021,AIAN,5706.312096
California,2/14/2021,Hispanic,9227.902979
California,2/17/2021,NHPI,10502.23482
California,2/17/2021,White,3655.266364
California,2/17/2021,Black,4898.735675
California,2/17/2021,Asian,3074.613541
California,2/17/2021,AIAN,5743.209247
California,2/17/2021,Hispanic,9286.921082
California,2/21/2021,NHPI,10572.02882
California,2/21/2021,White,3698.488466
California,2/21/2021,Black,4960.476319
California,2/21/2021,Asian,3115.033739
California,2/21/2021,AIAN,5823.712122
California,2/21/2021,Hispanic,9391.730865
California,2/24/2021,NHPI,10621.37811
California,2/24/2021,White,3721.976771
California,2/24/2021,Black,4994.454392
California,2/24/2021,Asian,3139.330787
California,2/24/2021,AIAN,5863.292702
California,2/24/2021,Hispanic,9451.371766
California,2/28/2021,NHPI,10698.22202
California,2/28/2021,White,3757.752551
California,2/28/2021,Black,5045.651704
California,2/28/2021,Asian,3174.70494
California,2/28/2021,AIAN,5944.466434
California,2/28/2021,Hispanic,9548.868492
California,3/3/2021,NHPI,10735.58648
California,3/3/2021,White,3774.895112
California,3/3/2021,Black,5069.777057
California,3/3/2021,Asian,3192.919087
California,3/3/2021,AIAN,5980.692727
California,3/3/2021,Hispanic,9594.782163
California,3/7/2021,NHPI,10772.95095
California,3/7/2021,White,3807.654749
California,3/7/2021,Black,5123.368489
California,3/7/2021,Asian,3223.972996
California,3/7/2021,AIAN,6054.487029
California,3/7/2021,Hispanic,9689.338256
California,4/3/2021,NHPI,10996.43275
California,4/3/2021,White,3916.228949
California,4/3/2021,Black,5278.203527
California,4/3/2021,Asian,3315.423908
California,4/3/2021,AIAN,6325.513374
California,4/3/2021,Hispanic,9944.492677
California,4/21/2021,NHPI,11254.45906
California,4/21/2021,White,4040.475949
California,4/21/2021,Black,5478.20454
California,4/21/2021,Asian,3416.828661
