state,date,race_eth,case_rate
Colorado,4/12/2020,NHPI,0
Colorado,4/12/2020,White,0
Colorado,4/12/2020,Black,0
Colorado,4/12/2020,Asian,0
Colorado,4/12/2020,AIAN,0
Colorado,4/12/2020,Hispanic,0
Colorado,4/15/2020,NHPI,639.2151033
Colorado,4/15/2020,White,121.8580968
Colorado,4/15/2020,Black,255.4738117
Colorado,4/15/2020,Asian,116.4353376
Colorado,4/15/2020,AIAN,125.584754
Colorado,4/15/2020,Hispanic,0
Colorado,4/19/2020,NHPI,787.8697785
Colorado,4/19/2020,White,138.3956139
Colorado,4/19/2020,Black,310.3436167
Colorado,4/19/2020,Asian,134.9344099
Colorado,4/19/2020,AIAN,153.8413237
Colorado,4/19/2020,Hispanic,0
Colorado,4/22/2020,NHPI,951.3899212
Colorado,4/22/2020,White,150.6637254
Colorado,4/22/2020,Black,360.3848788
Colorado,4/22/2020,Asian,163.7711991
Colorado,4/22/2020,AIAN,172.6790368
Colorado,4/22/2020,Hispanic,0
Colorado,4/26/2020,NHPI,1070.313661
Colorado,4/26/2020,White,179.3407575
Colorado,4/26/2020,Black,443.3480238
Colorado,4/26/2020,Asian,195.8725305
Colorado,4/26/2020,AIAN,204.0752253
Colorado,4/26/2020,Hispanic,367.8088126
Colorado,4/29/2020,NHPI,1159.506466
Colorado,4/29/2020,White,191.8660621
Colorado,4/29/2020,Black,496.461995
Colorado,4/29/2020,Asian,214.9156932
Colorado,4/29/2020,AIAN,244.8902703
Colorado,4/29/2020,Hispanic,419.6823462
Colorado,5/3/2020,NHPI,1323.026609
Colorado,5/3/2020,White,209.0722813
Colorado,5/3/2020,Black,553.0876337
Colorado,5/3/2020,Asian,236.1352173
Colorado,5/3/2020,AIAN,260.5883646
Colorado,5/3/2020,Hispanic,499.4816625
Colorado,5/6/2020,NHPI,1427.084882
Colorado,5/6/2020,White,216.6594781
Colorado,5/6/2020,Black,590.8380595
Colorado,5/6/2020,Asian,282.9269885
Colorado,5/6/2020,AIAN,279.4260777
Colorado,5/6/2020,Hispanic,549.5253015
Colorado,5/10/2020,NHPI,1218.968337
Colorado,5/10/2020,White,189.962833
Colorado,5/10/2020,Black,544.7474233
Colorado,5/10/2020,Asian,304.1465127
Colorado,5/10/2020,AIAN,263.7279834
Colorado,5/10/2020,Hispanic,519.610503
Colorado,5/13/2020,NHPI,1263.564739
Colorado,5/13/2020,White,195.3638884
Colorado,5/13/2020,Black,568.0122206
Colorado,5/13/2020,Asian,323.7337657
Colorado,5/13/2020,AIAN,282.5656965
Colorado,5/13/2020,Hispanic,551.0369535
Colorado,5/17/2020,NHPI,1293.295674
Colorado,5/17/2020,White,203.9026997
Colorado,5/17/2020,Black,593.9107685
Colorado,5/17/2020,Asian,328.0864886
Colorado,5/17/2020,AIAN,301.4034096
Colorado,5/17/2020,Hispanic,613.4920515
Colorado,5/20/2020,NHPI,1352.757544
Colorado,5/20/2020,White,209.5352289
Colorado,5/20/2020,Black,612.347023
Colorado,5/20/2020,Asian,342.232838
Colorado,5/20/2020,AIAN,320.2411227
Colorado,5/20/2020,Hispanic,647.8622455
Colorado,5/24/2020,NHPI,1471.681284
Colorado,5/24/2020,White,217.8940051
Colorado,5/24/2020,Black,635.6118203
Colorado,5/24/2020,Asian,352.0264646
Colorado,5/24/2020,AIAN,354.7769301
Colorado,5/24/2020,Hispanic,697.1898388
Colorado,5/27/2020,NHPI,1471.681284
Colorado,5/27/2020,White,222.7549549
Colorado,5/27/2020,Black,650.9753657
Colorado,5/27/2020,Asian,359.6437296
Colorado,5/27/2020,AIAN,364.1957866
Colorado,5/27/2020,Hispanic,718.5916495
Colorado,5/31/2020,NHPI,1605.470492
Colorado,5/31/2020,White,231.190889
Colorado,5/31/2020,Black,675.9959967
Colorado,5/31/2020,Asian,372.7018983
Colorado,5/31/2020,AIAN,411.2900694
Colorado,5/31/2020,Hispanic,774.1249723
Colorado,6/3/2020,NHPI,1635.201427
Colorado,6/3/2020,White,238.7009279
Colorado,6/3/2020,Black,693.5543343
Colorado,6/3/2020,Asian,391.2009707
Colorado,6/3/2020,AIAN,439.546639
Colorado,6/3/2020,Hispanic,811.2002279
Colorado,6/7/2020,NHPI,1739.2597
Colorado,6/7/2020,White,243.9733867
Colorado,6/7/2020,Black,706.7230875
Colorado,6/7/2020,Asian,402.0827779
Colorado,6/7/2020,AIAN,483.5013029
Colorado,6/7/2020,Hispanic,844.6952549
Colorado,6/10/2020,NHPI,1768.990635
Colorado,6/10/2020,White,252.6407946
Colorado,6/10/2020,Black,735.255386
Colorado,6/10/2020,Asian,420.0377599
Colorado,6/10/2020,AIAN,489.7805406
Colorado,6/10/2020,Hispanic,874.928296
Colorado,6/14/2020,NHPI,1813.587037
Colorado,6/14/2020,White,258.2476044
Colorado,6/14/2020,Black,741.4008042
Colorado,6/14/2020,Asian,424.3904828
Colorado,6/14/2020,AIAN,502.339016
Colorado,6/14/2020,Hispanic,894.3410908
Colorado,6/17/2020,NHPI,1843.317972
Colorado,6/17/2020,White,263.0571156
Colorado,6/17/2020,Black,746.229347
Colorado,6/17/2020,Asian,429.287296
Colorado,6/17/2020,AIAN,511.7578726
Colorado,6/17/2020,Hispanic,910.0145357
Colorado,6/21/2020,NHPI,1858.18344
Colorado,6/21/2020,White,269.7955752
Colorado,6/21/2020,Black,758.5201833
Colorado,6/21/2020,Asian,435.27229
Colorado,6/21/2020,AIAN,514.8974914
Colorado,6/21/2020,Hispanic,930.3024975
Colorado,6/24/2020,NHPI,1843.317972
Colorado,6/24/2020,White,277.45993
Colorado,6/24/2020,Black,754.5695574
Colorado,6/24/2020,Asian,428.7432057
Colorado,6/24/2020,AIAN,527.4559668
Colorado,6/24/2020,Hispanic,948.6014434
Colorado,6/28/2020,NHPI,1858.18344
Colorado,6/28/2020,White,285.227162
Colorado,6/28/2020,Black,766.8603937
Colorado,6/28/2020,Asian,432.0077478
Colorado,6/28/2020,AIAN,546.2936799
Colorado,6/28/2020,Hispanic,971.5944667
Colorado,7/1/2020,NHPI,1858.18344
Colorado,7/1/2020,White,292.0427794
Colorado,7/1/2020,Black,779.5901884
Colorado,7/1/2020,Asian,440.1691033
Colorado,7/1/2020,AIAN,590.2483439
Colorado,7/1/2020,Hispanic,994.0305656
Colorado,7/5/2020,NHPI,1709.528765
Colorado,7/5/2020,White,273.9878229
Colorado,7/5/2020,Black,726.4762172
Colorado,7/5/2020,Asian,411.8764044
Colorado,7/5/2020,AIAN,536.8748234
Colorado,7/5/2020,Hispanic,933.0871197
Colorado,7/8/2020,NHPI,1709.528765
Colorado,7/8/2020,White,281.7550549
Colorado,7/8/2020,Black,739.206012
Colorado,7/8/2020,Asian,415.685037
Colorado,7/8/2020,AIAN,552.5729176
Colorado,7/8/2020,Hispanic,960.6150992
Colorado,7/12/2020,NHPI,1754.125167
Colorado,7/12/2020,White,293.2001485
Colorado,7/12/2020,Black,762.0318508
Colorado,7/12/2020,Asian,426.0227539
Colorado,7/12/2020,AIAN,574.5502496
Colorado,7/12/2020,Hispanic,1002.782235
Colorado,7/15/2020,NHPI,1768.990635
Colorado,7/15/2020,White,305.2625054
Colorado,7/15/2020,Black,783.1018559
Colorado,7/15/2020,Asian,439.0809226
Colorado,7/15/2020,AIAN,593.3879627
Colorado,7/15/2020,Hispanic,1030.867139
Colorado,7/19/2020,NHPI,1813.587037
Colorado,7/19/2020,White,318.0707224
Colorado,7/19/2020,Black,807.6835285
Colorado,7/19/2020,Asian,449.4186394
Colorado,7/19/2020,AIAN,627.9237701
Colorado,7/19/2020,Hispanic,1070.886138
Colorado,7/22/2020,NHPI,1887.914375
Colorado,7/22/2020,White,328.4613242
Colorado,7/22/2020,Black,822.6081155
Colorado,7/22/2020,Asian,457.0359045
Colorado,7/22/2020,AIAN,640.4822455
Colorado,7/22/2020,Hispanic,1105.654136
Colorado,7/26/2020,NHPI,1947.376245
Colorado,7/26/2020,White,343.3013668
Colorado,7/26/2020,Black,851.140414
Colorado,7/26/2020,Asian,463.5649889
Colorado,7/26/2020,AIAN,671.878434
Colorado,7/26/2020,Hispanic,1168.109234
Colorado,7/29/2020,NHPI,2021.703583
Colorado,7/29/2020,White,355.4151624
Colorado,7/29/2020,Black,870.0156269
Colorado,7/29/2020,Asian,474.9908865
Colorado,7/29/2020,AIAN,681.2972905
Colorado,7/29/2020,Hispanic,1207.969111
Colorado,8/2/2020,NHPI,2512.264011
Colorado,8/2/2020,White,419.250493
Colorado,8/2/2020,Black,998.6304497
Colorado,8/2/2020,Asian,525.5912902
Colorado,8/2/2020,AIAN,810.0216634
Colorado,8/2/2020,Hispanic,1358.895635
Colorado,8/5/2020,NHPI,2512.264011
Colorado,8/5/2020,White,429.6410947
Colorado,8/5/2020,Black,1007.848577
Colorado,8/5/2020,Asian,529.9440131
Colorado,8/5/2020,AIAN,816.3009011
Colorado,8/5/2020,Hispanic,1390.87901
Colorado,8/9/2020,NHPI,2660.918686
Colorado,8/9/2020,White,446.9501912
Colorado,8/9/2020,Black,1031.113374
Colorado,8/9/2020,Asian,546.266724
Colorado,8/9/2020,AIAN,844.5574707
Colorado,8/9/2020,Hispanic,1447.446621
Colorado,8/12/2020,NHPI,2913.631634
Colorado,8/12/2020,White,488.8983879
Colorado,8/12/2020,Black,1119.782979
Colorado,8/12/2020,Asian,590.8821337
