state,date,race_eth,case_rate
Georgia,4/12/2020,NHPI,86.3682165
Georgia,4/12/2020,White,30.77450475
Georgia,4/12/2020,Black,80.30155401
Georgia,4/12/2020,Asian,19.57143117
Georgia,4/12/2020,AIAN,21.2685509
Georgia,4/12/2020,Hispanic,35.67859342
Georgia,4/15/2020,NHPI,115.157622
Georgia,4/15/2020,White,39.67905143
Georgia,4/15/2020,Black,107.9042916
Georgia,4/15/2020,Asian,29.81229632
Georgia,4/15/2020,AIAN,28.35806787
Georgia,4/15/2020,Hispanic,54.4769921
Georgia,4/19/2020,NHPI,129.5523247
Georgia,4/19/2020,White,53.55774965
Georgia,4/19/2020,Black,141.4935204
Georgia,4/19/2020,Asian,40.50831103
Georgia,4/19/2020,AIAN,37.81075716
Georgia,4/19/2020,Hispanic,83.5377819
Georgia,4/22/2020,NHPI,0
Georgia,4/22/2020,White,70.97543438
Georgia,4/22/2020,Black,186.8493008
Georgia,4/22/2020,Asian,54.61794746
Georgia,4/22/2020,AIAN,35.44758484
Georgia,4/22/2020,Hispanic,125.1628076
Georgia,4/26/2020,NHPI,57.578811
Georgia,4/26/2020,White,89.77935805
Georgia,4/26/2020,Black,237.8671813
Georgia,4/26/2020,Asian,68.27243432
Georgia,4/26/2020,AIAN,47.26344645
Georgia,4/26/2020,Hispanic,163.0473355
Georgia,4/29/2020,NHPI,129.5523247
Georgia,4/29/2020,White,104.9627518
Georgia,4/29/2020,Black,272.7539747
Georgia,4/29/2020,Asian,81.24419684
Georgia,4/29/2020,AIAN,61.44248039
Georgia,4/29/2020,Hispanic,200.7400431
Georgia,5/3/2020,NHPI,143.9470275
Georgia,5/3/2020,White,117.9933979
Georgia,5/3/2020,Black,301.3003956
Georgia,5/3/2020,Asian,90.80233765
Georgia,5/3/2020,AIAN,68.53199735
Georgia,5/3/2020,Hispanic,255.3129454
Georgia,5/6/2020,NHPI,187.1311357
Georgia,5/6/2020,White,129.0833095
Georgia,5/6/2020,Black,325.15789
Georgia,5/6/2020,Asian,100.3604785
Georgia,5/6/2020,AIAN,75.62151432
Georgia,5/6/2020,Hispanic,295.5952283
Georgia,5/10/2020,NHPI,187.1311357
Georgia,5/10/2020,White,137.5964476
Georgia,5/10/2020,Black,346.8920969
Georgia,5/10/2020,Asian,106.5049975
Georgia,5/10/2020,AIAN,75.62151432
Georgia,5/10/2020,Hispanic,323.6010059
Georgia,5/13/2020,NHPI,215.9205412
Georgia,5/13/2020,White,145.8812639
Georgia,5/13/2020,Black,365.8247438
Georgia,5/13/2020,Asian,112.4219419
Georgia,5/13/2020,AIAN,82.71103129
Georgia,5/13/2020,Hispanic,358.6082279
Georgia,5/17/2020,NHPI,230.315244
Georgia,5/17/2020,White,152.7146065
Georgia,5/17/2020,Black,381.985321
Georgia,5/17/2020,Asian,121.2973583
Georgia,5/17/2020,AIAN,80.34785897
Georgia,5/17/2020,Hispanic,383.1612385
Georgia,5/20/2020,NHPI,302.2887577
Georgia,5/20/2020,White,164.4894833
Georgia,5/20/2020,Black,400.2986758
Georgia,5/20/2020,Asian,129.2624756
Georgia,5/20/2020,AIAN,77.98468664
Georgia,5/20/2020,Hispanic,422.9639704
Georgia,5/24/2020,NHPI,316.6834605
Georgia,5/24/2020,White,174.0789951
Georgia,5/24/2020,Black,417.0195649
Georgia,5/24/2020,Asian,135.8621443
Georgia,5/24/2020,AIAN,82.71103129
Georgia,5/24/2020,Hispanic,465.8358286
Georgia,5/27/2020,NHPI,374.2622715
Georgia,5/27/2020,White,182.9019983
Georgia,5/27/2020,Black,430.8209337
Georgia,5/27/2020,Asian,145.1927103
Georgia,5/27/2020,AIAN,82.71103129
Georgia,5/27/2020,Hispanic,516.4764128
Georgia,5/31/2020,NHPI,446.2357852
Georgia,5/31/2020,White,190.1593669
Georgia,5/31/2020,Black,444.2389312
Georgia,5/31/2020,Asian,151.792379
Georgia,5/31/2020,AIAN,85.07420361
Georgia,5/31/2020,Hispanic,569.3229316
Georgia,6/3/2020,NHPI,475.0251907
Georgia,6/3/2020,White,200.0098178
Georgia,6/3/2020,Black,458.8365328
Georgia,6/3/2020,Asian,160.2126459
Georgia,6/3/2020,AIAN,87.43737593
Georgia,6/3/2020,Hispanic,621.1144381
Georgia,6/7/2020,NHPI,561.3934072
Georgia,6/7/2020,White,211.1812729
Georgia,6/7/2020,Black,478.2410214
Georgia,6/7/2020,Asian,171.1362354
Georgia,6/7/2020,AIAN,103.9795822
Georgia,6/7/2020,Hispanic,684.5110786
Georgia,6/10/2020,NHPI,604.5775155
Georgia,6/10/2020,White,220.8849456
Georgia,6/10/2020,Black,495.3452819
Georgia,6/10/2020,Asian,183.1976988
Georgia,6/10/2020,AIAN,101.6164099
Georgia,6/10/2020,Hispanic,747.0445273
Georgia,6/14/2020,NHPI,690.945732
Georgia,6/14/2020,White,236.2314262
Georgia,6/14/2020,Black,514.9267112
Georgia,6/14/2020,Asian,197.9900595
Georgia,6/14/2020,AIAN,115.7954438
Georgia,6/14/2020,Hispanic,822.238122
Georgia,6/17/2020,NHPI,734.1298402
Georgia,6/17/2020,White,250.7624722
Georgia,6/17/2020,Black,538.3123639
Georgia,6/17/2020,Asian,210.5066725
Georgia,6/17/2020,AIAN,115.7954438
Georgia,6/17/2020,Hispanic,898.8703697
Georgia,6/21/2020,NHPI,820.4980567
Georgia,6/21/2020,White,271.0667957
Georgia,6/21/2020,Black,569.6013646
Georgia,6/21/2020,Asian,232.1262767
Georgia,6/21/2020,AIAN,120.5217884
Georgia,6/21/2020,Hispanic,991.7114407
Georgia,6/24/2020,NHPI,863.682165
Georgia,6/24/2020,White,293.507558
Georgia,6/24/2020,Black,606.6999158
Georgia,6/24/2020,Asian,247.373787
Georgia,6/24/2020,AIAN,125.2481331
Georgia,6/24/2020,Hispanic,1098.939041
Georgia,6/28/2020,NHPI,1093.997409
Georgia,6/28/2020,White,320.3679763
Georgia,6/28/2020,Black,647.1603389
Georgia,6/28/2020,Asian,264.6694704
Georgia,6/28/2020,AIAN,127.6113054
Georgia,6/28/2020,Hispanic,1205.11163
Georgia,7/1/2020,NHPI,1065.208003
Georgia,7/1/2020,White,346.7228251
Georgia,7/1/2020,Black,698.1782193
Georgia,7/1/2020,Asian,282.8754529
Georgia,7/1/2020,AIAN,129.9744777
Georgia,7/1/2020,Hispanic,1308.694643
Georgia,7/5/2020,NHPI,1209.155031
Georgia,7/5/2020,White,380.7427599
Georgia,7/5/2020,Black,772.8766535
Georgia,7/5/2020,Asian,305.8605058
Georgia,7/5/2020,AIAN,129.9744777
Georgia,7/5/2020,Hispanic,1421.005484
Georgia,7/8/2020,NHPI,1381.891464
Georgia,7/8/2020,White,410.8649169
Georgia,7/8/2020,Black,828.3770298
Georgia,7/8/2020,Asian,327.0249604
Georgia,7/8/2020,AIAN,134.7008224
Georgia,7/8/2020,Hispanic,1509.914237
Georgia,7/12/2020,NHPI,1554.627897
Georgia,7/12/2020,White,451.2452421
Georgia,7/12/2020,Black,912.5712776
Georgia,7/12/2020,Asian,350.9203124
Georgia,7/12/2020,AIAN,158.3325456
Georgia,7/12/2020,Hispanic,1647.641281
Georgia,7/15/2020,NHPI,1770.548438
Georgia,7/15/2020,White,488.4942982
Georgia,7/15/2020,Black,987.5941029
Georgia,7/15/2020,Asian,375.0432392
Georgia,7/15/2020,AIAN,155.9693733
Georgia,7/15/2020,Hispanic,1751.416114
Georgia,7/19/2020,NHPI,2087.231899
Georgia,7/19/2020,White,535.1045444
Georgia,7/19/2020,Black,1078.895466
Georgia,7/19/2020,Asian,400.7591895
Georgia,7/19/2020,AIAN,186.6906135
Georgia,7/19/2020,Hispanic,1876.195281
Georgia,7/22/2020,NHPI,2202.389521
Georgia,7/22/2020,White,571.5870919
Georgia,7/22/2020,Black,1150.349989
Georgia,7/22/2020,Asian,418.0548728
Georgia,7/22/2020,AIAN,210.3223367
Georgia,7/22/2020,Hispanic,1972.105478
Georgia,7/26/2020,NHPI,2447.099467
Georgia,7/26/2020,White,628.5533585
Georgia,7/26/2020,Black,1270.522164
Georgia,7/26/2020,Asian,460.6113569
Georgia,7/26/2020,AIAN,226.864543
Georgia,7/26/2020,Hispanic,2137.934209
Georgia,7/29/2020,NHPI,2547.862387
Georgia,7/29/2020,White,667.2865057
Georgia,7/29/2020,Black,1343.303741
Georgia,7/29/2020,Asian,487.4651811
Georgia,7/29/2020,AIAN,226.864543
Georgia,7/29/2020,Hispanic,2248.039116
Georgia,8/2/2020,NHPI,2663.020009
Georgia,8/2/2020,White,727.6449806
Georgia,8/2/2020,Black,1440.562105
Georgia,8/2/2020,Asian,530.4768147
Georgia,8/2/2020,AIAN,257.5857832
Georgia,8/2/2020,Hispanic,2396.220371
Georgia,8/5/2020,NHPI,2778.177631
Georgia,8/5/2020,White,767.3892668
Georgia,8/5/2020,Black,1503.995319
Georgia,8/5/2020,Asian,563.0200084
