state,date,race_eth,case_rate
Hawaii,4/12/2020,NHPI,0
Hawaii,4/12/2020,White,0
Hawaii,4/12/2020,Black,0
Hawaii,4/12/2020,Asian,0
Hawaii,4/12/2020,AIAN,0
Hawaii,4/12/2020,Hispanic,0
Hawaii,4/15/2020,NHPI,0
Hawaii,4/15/2020,White,0
Hawaii,4/15/2020,Black,0
Hawaii,4/15/2020,Asian,0
Hawaii,4/15/2020,AIAN,0
Hawaii,4/15/2020,Hispanic,0
Hawaii,4/19/2020,NHPI,0
Hawaii,4/19/2020,White,0
Hawaii,4/19/2020,Black,0
Hawaii,4/19/2020,Asian,0
Hawaii,4/19/2020,AIAN,0
Hawaii,4/19/2020,Hispanic,0
Hawaii,4/22/2020,NHPI,16.33862648
Hawaii,4/22/2020,White,39.56496127
Hawaii,4/22/2020,Black,14.85718531
Hawaii,4/22/2020,Asian,25.37223256
Hawaii,4/22/2020,AIAN,0
Hawaii,4/22/2020,Hispanic,0
Hawaii,4/26/2020,NHPI,16.62032694
Hawaii,4/26/2020,White,45.7195108
Hawaii,4/26/2020,Black,18.57148163
Hawaii,4/26/2020,Asian,29.57051564
Hawaii,4/26/2020,AIAN,0
Hawaii,4/26/2020,Hispanic,0
Hawaii,4/29/2020,NHPI,16.62032694
Hawaii,4/29/2020,White,45.7195108
Hawaii,4/29/2020,Black,18.57148163
Hawaii,4/29/2020,Asian,29.57051564
Hawaii,4/29/2020,AIAN,0
Hawaii,4/29/2020,Hispanic,0
Hawaii,5/3/2020,NHPI,22.53603653
Hawaii,5/3/2020,White,52.16713412
Hawaii,5/3/2020,Black,18.57148163
Hawaii,5/3/2020,Asian,34.49893491
Hawaii,5/3/2020,AIAN,0
Hawaii,5/3/2020,Hispanic,0
Hawaii,5/6/2020,NHPI,22.53603653
Hawaii,5/6/2020,White,52.16713412
Hawaii,5/6/2020,Black,18.57148163
Hawaii,5/6/2020,Asian,34.49893491
Hawaii,5/6/2020,AIAN,0
Hawaii,5/6/2020,Hispanic,0
Hawaii,5/10/2020,NHPI,21.4092347
Hawaii,5/10/2020,White,46.30565838
Hawaii,5/10/2020,Black,18.57148163
Hawaii,5/10/2020,Asian,31.03078802
Hawaii,5/10/2020,AIAN,0
Hawaii,5/10/2020,Hispanic,0
Hawaii,5/13/2020,NHPI,21.4092347
Hawaii,5/13/2020,White,46.30565838
Hawaii,5/13/2020,Black,18.57148163
Hawaii,5/13/2020,Asian,31.03078802
Hawaii,5/13/2020,AIAN,0
Hawaii,5/13/2020,Hispanic,0
Hawaii,5/17/2020,NHPI,25.07134064
Hawaii,5/17/2020,White,45.13336323
Hawaii,5/17/2020,Black,18.57148163
Hawaii,5/17/2020,Asian,31.39585611
Hawaii,5/17/2020,AIAN,0
Hawaii,5/17/2020,Hispanic,0
Hawaii,5/20/2020,NHPI,25.07134064
Hawaii,5/20/2020,White,45.13336323
Hawaii,5/20/2020,Black,18.57148163
Hawaii,5/20/2020,Asian,31.39585611
Hawaii,5/20/2020,AIAN,0
Hawaii,5/20/2020,Hispanic,0
Hawaii,5/24/2020,NHPI,28.73344658
Hawaii,5/24/2020,White,47.47795352
Hawaii,5/24/2020,Black,22.28577796
Hawaii,5/24/2020,Asian,36.14174134
Hawaii,5/24/2020,AIAN,0
Hawaii,5/24/2020,Hispanic,0
Hawaii,5/27/2020,NHPI,28.73344658
Hawaii,5/27/2020,White,47.47795352
Hawaii,5/27/2020,Black,22.28577796
Hawaii,5/27/2020,Asian,36.14174134
Hawaii,5/27/2020,AIAN,0
Hawaii,5/27/2020,Hispanic,0
Hawaii,5/31/2020,NHPI,30.70534977
Hawaii,5/31/2020,White,58.61475744
Hawaii,5/31/2020,Black,22.28577796
Hawaii,5/31/2020,Asian,40.88762656
Hawaii,5/31/2020,AIAN,0
Hawaii,5/31/2020,Hispanic,0
Hawaii,6/3/2020,NHPI,30.70534977
Hawaii,6/3/2020,White,58.61475744
Hawaii,6/3/2020,Black,22.28577796
Hawaii,6/3/2020,Asian,40.88762656
Hawaii,6/3/2020,AIAN,0
Hawaii,6/3/2020,Hispanic,0
Hawaii,6/7/2020,NHPI,41.69166758
Hawaii,6/7/2020,White,46.89180595
Hawaii,6/7/2020,Black,26.00007429
Hawaii,6/7/2020,Asian,43.07803513
Hawaii,6/7/2020,AIAN,0
Hawaii,6/7/2020,Hispanic,0
Hawaii,6/10/2020,NHPI,41.69166758
Hawaii,6/10/2020,White,46.89180595
Hawaii,6/10/2020,Black,26.00007429
Hawaii,6/10/2020,Asian,43.07803513
Hawaii,6/10/2020,AIAN,0
Hawaii,6/10/2020,Hispanic,0
Hawaii,6/14/2020,NHPI,44.50867215
Hawaii,6/14/2020,White,46.30565838
Hawaii,6/14/2020,Black,26.00007429
Hawaii,6/14/2020,Asian,44.17323941
Hawaii,6/14/2020,AIAN,0
Hawaii,6/14/2020,Hispanic,0
Hawaii,6/17/2020,NHPI,44.50867215
Hawaii,6/17/2020,White,46.30565838
Hawaii,6/17/2020,Black,26.00007429
Hawaii,6/17/2020,Asian,44.17323941
Hawaii,6/17/2020,AIAN,0
Hawaii,6/17/2020,Hispanic,0
Hawaii,6/21/2020,NHPI,58.03029407
Hawaii,6/21/2020,White,56.85631471
Hawaii,6/21/2020,Black,29.71437061
Hawaii,6/21/2020,Asian,48.3715225
Hawaii,6/21/2020,AIAN,0
Hawaii,6/21/2020,Hispanic,0
Hawaii,6/24/2020,NHPI,58.03029407
Hawaii,6/24/2020,White,56.85631471
Hawaii,6/24/2020,Black,29.71437061
Hawaii,6/24/2020,Asian,48.3715225
Hawaii,6/24/2020,AIAN,0
Hawaii,6/24/2020,Hispanic,0
Hawaii,6/28/2020,NHPI,70.1434137
Hawaii,6/28/2020,White,51.28791276
Hawaii,6/28/2020,Black,33.42866694
Hawaii,6/28/2020,Asian,50.74446511
Hawaii,6/28/2020,AIAN,0
Hawaii,6/28/2020,Hispanic,0
Hawaii,7/1/2020,NHPI,70.1434137
Hawaii,7/1/2020,White,51.28791276
Hawaii,7/1/2020,Black,33.42866694
Hawaii,7/1/2020,Asian,50.74446511
Hawaii,7/1/2020,AIAN,0
Hawaii,7/1/2020,Hispanic,0
Hawaii,7/5/2020,NHPI,84.79183745
Hawaii,7/5/2020,White,54.51172442
Hawaii,7/5/2020,Black,33.42866694
Hawaii,7/5/2020,Asian,55.49035034
Hawaii,7/5/2020,AIAN,0
Hawaii,7/5/2020,Hispanic,0
Hawaii,7/8/2020,NHPI,84.79183745
Hawaii,7/8/2020,White,54.51172442
Hawaii,7/8/2020,Black,33.42866694
Hawaii,7/8/2020,Asian,55.49035034
Hawaii,7/8/2020,AIAN,0
Hawaii,7/8/2020,Hispanic,0
Hawaii,7/12/2020,NHPI,97.468358
Hawaii,7/12/2020,White,60.08012637
Hawaii,7/12/2020,Black,37.14296327
Hawaii,7/12/2020,Asian,62.06157604
Hawaii,7/12/2020,AIAN,0
Hawaii,7/12/2020,Hispanic,0
Hawaii,7/15/2020,NHPI,97.468358
Hawaii,7/15/2020,White,60.08012637
Hawaii,7/15/2020,Black,37.14296327
Hawaii,7/15/2020,Asian,62.06157604
Hawaii,7/15/2020,AIAN,0
Hawaii,7/15/2020,Hispanic,0
Hawaii,7/19/2020,NHPI,114.0886849
Hawaii,7/19/2020,White,64.76930697
Hawaii,7/19/2020,Black,37.14296327
Hawaii,7/19/2020,Asian,69.72800602
Hawaii,7/19/2020,AIAN,0
Hawaii,7/19/2020,Hispanic,0
Hawaii,7/22/2020,NHPI,114.0886849
Hawaii,7/22/2020,White,64.76930697
Hawaii,7/22/2020,Black,37.14296327
Hawaii,7/22/2020,Asian,69.72800602
Hawaii,7/22/2020,AIAN,0
Hawaii,7/22/2020,Hispanic,0
Hawaii,7/26/2020,NHPI,131.8358137
Hawaii,7/26/2020,White,70.63078271
Hawaii,7/26/2020,Black,44.57155592
Hawaii,7/26/2020,Asian,77.394436
Hawaii,7/26/2020,AIAN,0
Hawaii,7/26/2020,Hispanic,0
Hawaii,7/29/2020,NHPI,131.8358137
Hawaii,7/29/2020,White,70.63078271
Hawaii,7/29/2020,Black,44.57155592
Hawaii,7/29/2020,Asian,77.394436
Hawaii,7/29/2020,AIAN,0
Hawaii,7/29/2020,Hispanic,0
Hawaii,8/2/2020,NHPI,155.2169516
Hawaii,8/2/2020,White,77.95762739
Hawaii,8/2/2020,Black,59.42874122
Hawaii,8/2/2020,Asian,85.42593407
Hawaii,8/2/2020,AIAN,0
Hawaii,8/2/2020,Hispanic,0
Hawaii,8/5/2020,NHPI,155.2169516
Hawaii,8/5/2020,White,77.95762739
Hawaii,8/5/2020,Black,59.42874122
Hawaii,8/5/2020,Asian,85.42593407
Hawaii,8/5/2020,AIAN,0
Hawaii,8/5/2020,Hispanic,0
Hawaii,8/9/2020,NHPI,212.9655452
Hawaii,8/9/2020,White,89.97365267
Hawaii,8/9/2020,Black,89.14311184
Hawaii,8/9/2020,Asian,105.8697474
Hawaii,8/9/2020,AIAN,0
Hawaii,8/9/2020,Hispanic,0
Hawaii,8/12/2020,NHPI,212.9655452
Hawaii,8/12/2020,White,89.97365267
Hawaii,8/12/2020,Black,89.14311184
Hawaii,8/12/2020,Asian,105.8697474
Hawaii,8/12/2020,AIAN,0
Hawaii,8/12/2020,Hispanic,0
Hawaii,8/16/2020,NHPI,263.6716274
Hawaii,8/16/2020,White,102.8688993
Hawaii,8/16/2020,Black,107.7145935
Hawaii,8/16/2020,Asian,130.5118437
Hawaii,8/16/2020,AIAN,0
Hawaii,8/16/2020,Hispanic,0
Hawaii,8/19/2020,NHPI,263.6716274
Hawaii,8/19/2020,White,102.8688993
Hawaii,8/19/2020,Black,107.7145935
Hawaii,8/19/2020,Asian,130.5118437
Hawaii,8/19/2020,AIAN,0
Hawaii,8/19/2020,Hispanic,0
Hawaii,8/23/2020,NHPI,320.0117187
Hawaii,8/23/2020,White,111.6611129
Hawaii,8/23/2020,Black,130.0003714
Hawaii,8/23/2020,Asian,166.471051
Hawaii,8/23/2020,AIAN,0
Hawaii,8/23/2020,Hispanic,0
Hawaii,8/26/2020,NHPI,398.8878466
Hawaii,8/26/2020,White,136.8654586
Hawaii,8/26/2020,Black,189.4291127
Hawaii,8/26/2020,Asian,209.184018
Hawaii,8/26/2020,AIAN,0
Hawaii,8/26/2020,Hispanic,0
Hawaii,8/30/2020,NHPI,427.6212932
Hawaii,8/30/2020,White,157.0875499
Hawaii,8/30/2020,Black,196.8577053
Hawaii,8/30/2020,Asian,249.5240425
Hawaii,8/30/2020,AIAN,0
Hawaii,8/30/2020,Hispanic,0
Hawaii,9/2/2020,NHPI,427.6212932
Hawaii,9/2/2020,White,157.0875499
Hawaii,9/2/2020,Black,196.8577053
Hawaii,9/2/2020,Asian,249.5240425
Hawaii,9/2/2020,AIAN,0
Hawaii,9/2/2020,Hispanic,0
Hawaii,9/6/2020,NHPI,515.5118356
Hawaii,9/6/2020,White,194.6009947
Hawaii,9/6/2020,Black,267.4293355
Hawaii,9/6/2020,Asian,272.7058665
Hawaii,9/6/2020,AIAN,0
Hawaii,9/6/2020,Hispanic,0
Hawaii,9/9/2020,NHPI,515.5118356
Hawaii,9/9/2020,White,194.6009947
Hawaii,9/9/2020,Black,267.4293355
Hawaii,9/9/2020,Asian,272.7058665
Hawaii,9/9/2020,AIAN,0
Hawaii,9/9/2020,Hispanic,0
Hawaii,9/13/2020,NHPI,553.8230977
Hawaii,9/13/2020,White,216.5815287
Hawaii,9/13/2020,Black,312.0008914
Hawaii,9/13/2020,Asian,305.0143928
Hawaii,9/13/2020,AIAN,0
Hawaii,9/13/2020,Hispanic,0
Hawaii,9/16/2020,NHPI,553.8230977
Hawaii,9/16/2020,White,216.5815287
Hawaii,9/16/2020,Black,312.0008914
Hawaii,9/16/2020,Asian,305.0143928
Hawaii,9/16/2020,AIAN,0
Hawaii,9/16/2020,Hispanic,0
Hawaii,9/20/2020,NHPI,626.5018156
Hawaii,9/20/2020,White,273.7309172
Hawaii,9/20/2020,Black,468.0013371
Hawaii,9/20/2020,Asian,361.9650155
Hawaii,9/20/2020,AIAN,0
Hawaii,9/20/2020,Hispanic,0
Hawaii,9/23/2020,NHPI,626.5018156
Hawaii,9/23/2020,White,273.7309172
Hawaii,9/23/2020,Black,468.0013371
Hawaii,9/23/2020,Asian,361.9650155
Hawaii,9/23/2020,AIAN,0
Hawaii,9/23/2020,Hispanic,0
Hawaii,9/27/2020,NHPI,758.0559288
Hawaii,9/27/2020,White,307.141329
Hawaii,9/27/2020,Black,609.1445976
Hawaii,9/27/2020,Asian,422.7488532
Hawaii,9/27/2020,AIAN,0
Hawaii,9/27/2020,Hispanic,0
Hawaii,9/30/2020,NHPI,758.0559288
Hawaii,9/30/2020,White,307.141329
Hawaii,9/30/2020,Black,609.1445976
Hawaii,9/30/2020,Asian,422.7488532
Hawaii,9/30/2020,AIAN,0
Hawaii,9/30/2020,Hispanic,0
Hawaii,10/4/2020,NHPI,857.49619
Hawaii,10/4/2020,White,326.7772727
Hawaii,10/4/2020,Black,646.2875608
Hawaii,10/4/2020,Asian,476.5963971
Hawaii,10/4/2020,AIAN,0
Hawaii,10/4/2020,Hispanic,0
Hawaii,10/7/2020,NHPI,857.49619
Hawaii,10/7/2020,White,326.7772727
Hawaii,10/7/2020,Black,646.2875608
Hawaii,10/7/2020,Asian,476.5963971
Hawaii,10/7/2020,AIAN,0
Hawaii,10/7/2020,Hispanic,0
Hawaii,10/11/2020,NHPI,927.9213042
Hawaii,10/11/2020,White,342.3101834
Hawaii,10/11/2020,Black,679.7162278
Hawaii,10/11/2020,Asian,503.246368
Hawaii,10/11/2020,AIAN,0
Hawaii,10/11/2020,Hispanic,0
Hawaii,10/14/2020,NHPI,927.9213042
Hawaii,10/14/2020,White,342.3101834
Hawaii,10/14/2020,Black,679.7162278
Hawaii,10/14/2020,Asian,503.246368
Hawaii,10/14/2020,AIAN,0
Hawaii,10/14/2020,Hispanic,0
Hawaii,10/18/2020,NHPI,1016.938648
Hawaii,10/18/2020,White,364.2907175
Hawaii,10/18/2020,Black,724.2877837
Hawaii,10/18/2020,Asian,549.7925501
Hawaii,10/18/2020,AIAN,0
Hawaii,10/18/2020,Hispanic,0
Hawaii,10/21/2020,NHPI,1016.938648
Hawaii,10/21/2020,White,364.2907175
Hawaii,10/21/2020,Black,724.2877837
Hawaii,10/21/2020,Asian,549.7925501
Hawaii,10/21/2020,AIAN,0
Hawaii,10/21/2020,Hispanic,0
Hawaii,10/25/2020,NHPI,1103.702389
Hawaii,10/25/2020,White,380.7028496
Hawaii,10/25/2020,Black,765.1450433
Hawaii,10/25/2020,Asian,578.6329295
Hawaii,10/25/2020,AIAN,0
Hawaii,10/25/2020,Hispanic,0
Hawaii,10/28/2020,NHPI,1103.702389
Hawaii,10/28/2020,White,380.7028496
Hawaii,10/28/2020,Black,765.1450433
Hawaii,10/28/2020,Asian,578.6329295
Hawaii,10/28/2020,AIAN,0
Hawaii,10/28/2020,Hispanic,0
Hawaii,11/1/2020,NHPI,1199.198844
Hawaii,11/1/2020,White,397.7011292
Hawaii,11/1/2020,Black,809.7165992
Hawaii,11/1/2020,Asian,608.7510473
Hawaii,11/1/2020,AIAN,0
Hawaii,11/1/2020,Hispanic,0
Hawaii,11/4/2020,NHPI,1199.198844
Hawaii,11/4/2020,White,397.7011292
Hawaii,11/4/2020,Black,809.7165992
Hawaii,11/4/2020,Asian,608.7510473
Hawaii,11/4/2020,AIAN,0
Hawaii,11/4/2020,Hispanic,0
Hawaii,11/8/2020,NHPI,1286.525985
Hawaii,11/8/2020,White,415.2855564
Hawaii,11/8/2020,Black,835.7166735
Hawaii,11/8/2020,Asian,632.1154053
Hawaii,11/8/2020,AIAN,0
Hawaii,11/8/2020,Hispanic,0
Hawaii,11/11/2020,NHPI,1286.525985
Hawaii,11/11/2020,White,415.2855564
Hawaii,11/11/2020,Black,835.7166735
Hawaii,11/11/2020,Asian,632.1154053
Hawaii,11/11/2020,AIAN,0
Hawaii,11/11/2020,Hispanic,0
Hawaii,11/15/2020,NHPI,1367.374017
Hawaii,11/15/2020,White,446.0583041
Hawaii,11/15/2020,Black,887.716822
Hawaii,11/15/2020,Asian,671.1776914
Hawaii,11/15/2020,AIAN,0
Hawaii,11/15/2020,Hispanic,0
Hawaii,11/18/2020,NHPI,1367.374017
Hawaii,11/18/2020,White,446.0583041
Hawaii,11/18/2020,Black,887.716822
Hawaii,11/18/2020,Asian,671.1776914
Hawaii,11/18/2020,AIAN,0
Hawaii,11/18/2020,Hispanic,0
Hawaii,11/22/2020,NHPI,1434.700426
Hawaii,11/22/2020,White,476.537978
Hawaii,11/22/2020,Black,1025.145786
Hawaii,11/22/2020,Asian,695.2721856
Hawaii,11/22/2020,AIAN,0
Hawaii,11/22/2020,Hispanic,0
Hawaii,11/25/2020,NHPI,1464.278974
Hawaii,11/25/2020,White,491.1916673
Hawaii,11/25/2020,Black,1028.860082
Hawaii,11/25/2020,Asian,705.8591604
Hawaii,11/25/2020,AIAN,0
Hawaii,11/25/2020,Hispanic,0
