state,date,race_eth,case_rate
Ohio,4/12/2020,NHPI,37.92188093
Ohio,4/12/2020,White,37.28055096
Ohio,4/12/2020,Black,90.50446014
Ohio,4/12/2020,Asian,45.15905822
Ohio,4/12/2020,AIAN,16.98946653
Ohio,4/12/2020,Hispanic,37.2121671
Ohio,4/15/2020,NHPI,56.88282139
Ohio,4/15/2020,White,44.41082659
Ohio,4/15/2020,Black,108.9052163
Ohio,4/15/2020,Asian,51.35021942
Ohio,4/15/2020,AIAN,16.98946653
Ohio,4/15/2020,Hispanic,46.62214038
Ohio,4/19/2020,NHPI,94.80470231
Ohio,4/19/2020,White,60.91413519
Ohio,4/19/2020,Black,164.5845416
Ohio,4/19/2020,Asian,60.81905421
Ohio,4/19/2020,AIAN,25.4841998
Ohio,4/19/2020,Hispanic,68.22230634
Ohio,4/22/2020,NHPI,94.80470231
Ohio,4/22/2020,White,73.15408906
Ohio,4/22/2020,Black,212.085753
Ohio,4/22/2020,Asian,67.73858732
Ohio,4/22/2020,AIAN,42.47366633
Ohio,4/22/2020,Hispanic,84.6897596
Ohio,4/26/2020,NHPI,189.6094046
Ohio,4/26/2020,White,84.37845472
Ohio,4/26/2020,Black,253.2489261
Ohio,4/26/2020,Asian,78.66416592
Ohio,4/26/2020,AIAN,46.72103296
Ohio,4/26/2020,Hispanic,109.497871
Ohio,4/29/2020,NHPI,265.4531665
Ohio,4/29/2020,White,94.48144171
Ohio,4/29/2020,Black,287.6651553
Ohio,4/29/2020,Asian,90.68230238
Ohio,4/29/2020,AIAN,59.46313286
Ohio,4/29/2020,Hispanic,135.1614345
Ohio,5/3/2020,NHPI,322.3359879
Ohio,5/3/2020,White,109.3555775
Ohio,5/3/2020,Black,346.4112733
Ohio,5/3/2020,Asian,109.9841579
Ohio,5/3/2020,AIAN,89.19469929
Ohio,5/3/2020,Hispanic,189.4826439
Ohio,5/6/2020,NHPI,606.7500948
Ohio,5/6/2020,White,117.882287
Ohio,5/6/2020,Black,377.7607098
Ohio,5/6/2020,Asian,127.1008977
Ohio,5/6/2020,AIAN,72.20523276
Ohio,5/6/2020,Hispanic,223.7007286
Ohio,5/10/2020,NHPI,929.0860827
Ohio,5/10/2020,White,130.5136655
Ohio,5/10/2020,Black,418.71943
Ohio,5/10/2020,Asian,151.1371706
Ohio,5/10/2020,AIAN,84.94733265
Ohio,5/10/2020,Hispanic,278.6635272
Ohio,5/13/2020,NHPI,1137.656428
Ohio,5/13/2020,White,140.0665422
Ohio,5/13/2020,Black,447.3428286
Ohio,5/13/2020,Asian,171.89577
Ohio,5/13/2020,AIAN,89.19469929
Ohio,5/13/2020,Hispanic,315.0202421
Ohio,5/17/2020,NHPI,1308.304892
Ohio,5/17/2020,White,150.9946946
Ohio,5/17/2020,Black,485.5755109
Ohio,5/17/2020,Asian,191.9259974
Ohio,5/17/2020,AIAN,89.19469929
Ohio,5/17/2020,Hispanic,368.4859995
Ohio,5/20/2020,NHPI,1535.836177
Ohio,5/20/2020,White,159.2357699
Ohio,5/20/2020,Black,511.2684186
Ohio,5/20/2020,Asian,219.6041299
Ohio,5/20/2020,AIAN,89.19469929
Ohio,5/20/2020,Hispanic,403.5595363
Ohio,5/24/2020,NHPI,1668.562761
Ohio,5/24/2020,White,173.3482145
Ohio,5/24/2020,Black,551.5456294
Ohio,5/24/2020,Asian,262.2138864
Ohio,5/24/2020,AIAN,110.4315324
Ohio,5/24/2020,Hispanic,452.748033
Ohio,5/27/2020,NHPI,1782.328403
Ohio,5/27/2020,White,182.1605582
Ohio,5/27/2020,Black,578.6697071
Ohio,5/27/2020,Asian,297.9041098
Ohio,5/27/2020,AIAN,135.9157322
Ohio,5/27/2020,Hispanic,488.0354328
Ohio,5/31/2020,NHPI,1801.289344
Ohio,5/31/2020,White,191.3854845
Ohio,5/31/2020,Black,603.2721997
Ohio,5/31/2020,Asian,341.2422383
Ohio,5/31/2020,AIAN,165.6472987
Ohio,5/31/2020,Hispanic,546.4200398
Ohio,6/3/2020,NHPI,1839.211225
Ohio,6/3/2020,White,198.7802362
Ohio,6/3/2020,Black,622.831522
Ohio,6/3/2020,Asian,370.7413005
Ohio,6/3/2020,AIAN,178.3893986
Ohio,6/3/2020,Hispanic,576.1470009
Ohio,6/7/2020,NHPI,1934.015927
Ohio,6/7/2020,White,207.9311093
Ohio,6/7/2020,Black,648.5925807
Ohio,6/7/2020,Asian,412.2584992
Ohio,6/7/2020,AIAN,178.3893986
Ohio,6/7/2020,Hispanic,619.3473328
Ohio,6/10/2020,NHPI,1896.094046
Ohio,6/10/2020,White,213.4851074
Ohio,6/10/2020,Black,670.1282805
Ohio,6/10/2020,Asian,448.6770945
Ohio,6/10/2020,AIAN,182.6367652
Ohio,6/10/2020,Hispanic,648.0049787
Ohio,6/14/2020,NHPI,1877.133106
Ohio,6/14/2020,White,221.1760723
Ohio,6/14/2020,Black,697.3886601
Ohio,6/14/2020,Asian,475.991041
Ohio,6/14/2020,AIAN,195.3788651
Ohio,6/14/2020,Hispanic,690.5637216
Ohio,6/17/2020,NHPI,1915.054987
