state,date,race_eth,case_rate
Oregon,4/12/2020,NHPI,0
Oregon,4/12/2020,White,0
Oregon,4/12/2020,Black,0
Oregon,4/12/2020,Asian,0
Oregon,4/12/2020,AIAN,0
Oregon,4/12/2020,Hispanic,0
Oregon,4/15/2020,NHPI,0
Oregon,4/15/2020,White,0
Oregon,4/15/2020,Black,0
Oregon,4/15/2020,Asian,0
Oregon,4/15/2020,AIAN,0
Oregon,4/15/2020,Hispanic,0
Oregon,4/19/2020,NHPI,91.66549147
Oregon,4/19/2020,White,21.73756964
Oregon,4/19/2020,Black,39.78541544
Oregon,4/19/2020,Asian,24.73359853
Oregon,4/19/2020,AIAN,17.85112165
Oregon,4/19/2020,Hispanic,59.98175849
Oregon,4/22/2020,NHPI,155.1262163
Oregon,4/22/2020,White,30.22260009
Oregon,4/22/2020,Black,60.3198234
Oregon,4/22/2020,Asian,32.97813138
Oregon,4/22/2020,AIAN,33.71878533
Oregon,4/22/2020,Hispanic,89.7962208
Oregon,4/26/2020,NHPI,155.1262163
Oregon,4/26/2020,White,30.22260009
Oregon,4/26/2020,Black,60.3198234
Oregon,4/26/2020,Asian,32.97813138
Oregon,4/26/2020,AIAN,33.71878533
Oregon,4/26/2020,Hispanic,89.7962208
Oregon,4/29/2020,NHPI,183.3309829
Oregon,4/29/2020,White,36.32387617
Oregon,4/29/2020,Black,74.43722888
Oregon,4/29/2020,Asian,41.22266422
Oregon,4/29/2020,AIAN,57.52028086
Oregon,4/29/2020,Hispanic,112.5540056
Oregon,5/3/2020,NHPI,183.3309829
Oregon,5/3/2020,White,36.32387617
Oregon,5/3/2020,Black,74.43722888
Oregon,5/3/2020,Asian,41.22266422
Oregon,5/3/2020,AIAN,57.52028086
Oregon,5/3/2020,Hispanic,112.5540056
Oregon,5/6/2020,NHPI,190.3821746
Oregon,5/6/2020,White,41.31840914
Oregon,5/6/2020,Black,88.55463436
Oregon,5/6/2020,Asian,51.52833028
Oregon,5/6/2020,AIAN,89.25560823
Oregon,5/6/2020,Hispanic,140.6042986
Oregon,5/10/2020,NHPI,190.3821746
Oregon,5/10/2020,White,41.31840914
Oregon,5/10/2020,Black,88.55463436
Oregon,5/10/2020,Asian,51.52833028
Oregon,5/10/2020,AIAN,89.25560823
Oregon,5/10/2020,Hispanic,140.6042986
Oregon,5/13/2020,NHPI,232.6893245
Oregon,5/13/2020,White,47.64670944
Oregon,5/13/2020,Black,105.2388408
Oregon,5/13/2020,Asian,60.80342973
Oregon,5/13/2020,AIAN,113.0571038
Oregon,5/13/2020,Hispanic,177.1226045
Oregon,5/17/2020,NHPI,232.6893245
Oregon,5/17/2020,White,47.64670944
Oregon,5/17/2020,Black,105.2388408
Oregon,5/17/2020,Asian,60.80342973
Oregon,5/17/2020,AIAN,113.0571038
Oregon,5/17/2020,Hispanic,177.1226045
Oregon,5/20/2020,NHPI,331.4060076
Oregon,5/20/2020,White,52.27232805
Oregon,5/20/2020,Black,110.3724428
Oregon,5/20/2020,Asian,69.56324587
Oregon,5/20/2020,AIAN,132.8916834
Oregon,5/20/2020,Hispanic,204.9964805
Oregon,5/24/2020,NHPI,331.4060076
Oregon,5/24/2020,White,52.27232805
Oregon,5/24/2020,Black,110.3724428
Oregon,5/24/2020,Asian,69.56324587
Oregon,5/24/2020,AIAN,132.8916834
Oregon,5/24/2020,Hispanic,204.9964805
Oregon,5/27/2020,NHPI,373.7131575
Oregon,5/27/2020,White,55.22364298
Oregon,5/27/2020,Black,124.4898483
Oregon,5/27/2020,Asian,71.62437908
Oregon,5/27/2020,AIAN,136.8585993
Oregon,5/27/2020,Hispanic,232.3411057
Oregon,5/31/2020,NHPI,373.7131575
Oregon,5/31/2020,White,55.22364298
Oregon,5/31/2020,Black,124.4898483
Oregon,5/31/2020,Asian,71.62437908
Oregon,5/31/2020,AIAN,136.8585993
Oregon,5/31/2020,Hispanic,232.3411057
Oregon,6/3/2020,NHPI,535.8905655
Oregon,6/3/2020,White,60.01952976
Oregon,6/3/2020,Black,152.7246593
Oregon,6/3/2020,Asian,78.32306202
Oregon,6/3/2020,AIAN,186.4450483
Oregon,6/3/2020,Hispanic,264.978239
Oregon,6/7/2020,NHPI,578.1977154
Oregon,6/7/2020,White,61.32491906
Oregon,6/7/2020,Black,160.4250622
Oregon,6/7/2020,Asian,81.93004514
Oregon,6/7/2020,AIAN,206.2796279
Oregon,6/7/2020,Hispanic,281.2085972
Oregon,6/10/2020,NHPI,698.0679735
Oregon,6/10/2020,White,64.78703851
Oregon,6/10/2020,Black,206.6274802
Oregon,6/10/2020,Asian,90.68986129
Oregon,6/10/2020,AIAN,222.1472916
Oregon,6/10/2020,Hispanic,311.9051441
Oregon,6/14/2020,NHPI,733.3239317
Oregon,6/14/2020,White,63.11273484
Oregon,6/14/2020,Black,210.4776817
Oregon,6/14/2020,Asian,91.72042789
Oregon,6/14/2020,AIAN,226.1142075
Oregon,6/14/2020,Hispanic,322.4901603
Oregon,6/17/2020,NHPI,1142.293048
Oregon,6/17/2020,White,76.30851798
Oregon,6/17/2020,Black,296.465515
Oregon,6/17/2020,Asian,121.6068595
Oregon,6/17/2020,AIAN,253.882619
Oregon,6/17/2020,Hispanic,377.3558277
