state,date,race_eth,case_rate
Utah,4/12/2020,NHPI,0
Utah,4/12/2020,White,0
Utah,4/12/2020,Black,0
Utah,4/12/2020,Asian,0
Utah,4/12/2020,AIAN,0
Utah,4/12/2020,Hispanic,0
Utah,4/15/2020,NHPI,0
Utah,4/15/2020,White,0
Utah,4/15/2020,Black,0
Utah,4/15/2020,Asian,0
Utah,4/15/2020,AIAN,0
Utah,4/15/2020,Hispanic,0
Utah,4/19/2020,NHPI,0
Utah,4/19/2020,White,0
Utah,4/19/2020,Black,0
Utah,4/19/2020,Asian,0
Utah,4/19/2020,AIAN,0
Utah,4/19/2020,Hispanic,0
Utah,4/22/2020,NHPI,134.6030215
Utah,4/22/2020,White,58.30700244
Utah,4/22/2020,Black,100.3788492
Utah,4/22/2020,Asian,84.62456313
Utah,4/22/2020,AIAN,60.3593971
Utah,4/22/2020,Hispanic,245.4258593
Utah,4/26/2020,NHPI,170.7650273
Utah,4/26/2020,White,65.39232283
Utah,4/26/2020,Black,131.1401094
Utah,4/26/2020,Asian,94.7795107
Utah,4/26/2020,AIAN,81.05404753
Utah,4/26/2020,Hispanic,313.3832842
Utah,4/29/2020,NHPI,198.8910318
Utah,4/29/2020,White,68.7794516
Utah,4/29/2020,Black,165.1393971
Utah,4/29/2020,Asian,99.85698449
Utah,4/29/2020,AIAN,103.4732522
Utah,4/29/2020,Hispanic,351.4740701
Utah,5/3/2020,NHPI,259.1610415
Utah,5/3/2020,White,75.58827169
Utah,5/3/2020,Black,208.8527669
Utah,5/3/2020,Asian,107.4731952
Utah,5/3/2020,AIAN,205.2219501
Utah,5/3/2020,Hispanic,411.423773
Utah,5/6/2020,NHPI,287.287046
Utah,5/6/2020,White,79.459276
Utah,5/6/2020,Black,228.2809313
Utah,5/6/2020,Asian,110.8581777
Utah,5/6/2020,AIAN,258.6831304
Utah,5/6/2020,Hispanic,447.7831595
Utah,5/10/2020,NHPI,367.6470588
Utah,5/10/2020,White,86.26809608
Utah,5/10/2020,Black,278.4703559
Utah,5/10/2020,Asian,122.7056165
Utah,5/10/2020,AIAN,303.5215397
Utah,5/10/2020,Hispanic,511.8449359
Utah,5/13/2020,NHPI,427.9170685
Utah,5/13/2020,White,91.41791432
Utah,5/13/2020,Black,322.1837257
Utah,5/13/2020,Asian,133.7068097
Utah,5/13/2020,AIAN,319.0425275
Utah,5/13/2020,Hispanic,542.3608496
Utah,5/17/2020,NHPI,492.2050788
Utah,5/17/2020,White,98.2267344
Utah,5/17/2020,Black,370.7541366
Utah,5/17/2020,Asian,149.7854767
Utah,5/17/2020,AIAN,401.8211292
Utah,5/17/2020,Hispanic,595.6013799
Utah,5/20/2020,NHPI,546.4480874
Utah,5/20/2020,White,103.3074276
Utah,5/20/2020,Black,411.229479
Utah,5/20/2020,Asian,157.4016874
Utah,5/20/2020,AIAN,484.599731
Utah,5/20/2020,Hispanic,631.3114917
Utah,5/24/2020,NHPI,630.8261009
Utah,5/24/2020,White,112.1208749
Utah,5/24/2020,Black,440.3717255
Utah,5/24/2020,Asian,170.9416175
Utah,5/24/2020,AIAN,517.3662608
Utah,5/24/2020,Hispanic,697.1046674
Utah,5/27/2020,NHPI,671.0061074
Utah,5/27/2020,White,115.784504
Utah,5/27/2020,Black,454.9428488
Utah,5/27/2020,Asian,176.0190913
Utah,5/27/2020,AIAN,532.8872486
Utah,5/27/2020,Hispanic,727.8370061
Utah,5/31/2020,NHPI,775.4741241
Utah,5/31/2020,White,125.9804528
Utah,5/31/2020,Black,514.8463556
Utah,5/31/2020,Asian,203.0989515
Utah,5/31/2020,AIAN,581.1747663
Utah,5/31/2020,Hispanic,835.1837664
Utah,6/3/2020,NHPI,835.7441337
Utah,6/3/2020,White,133.8607116
Utah,6/3/2020,Black,537.5125474
Utah,6/3/2020,Asian,215.792636
Utah,6/3/2020,AIAN,605.3185252
Utah,6/3/2020,Hispanic,906.8204149
Utah,6/7/2020,NHPI,950.257152
Utah,6/7/2020,White,148.0313524
Utah,6/7/2020,Black,663.7956157
Utah,6/7/2020,Asian,249.6424612
Utah,6/7/2020,AIAN,686.3725727
Utah,6/7/2020,Hispanic,1065.027031
Utah,6/10/2020,NHPI,1020.572163
Utah,6/10/2020,White,155.2203604
Utah,6/10/2020,Black,692.9378623
Utah,6/10/2020,Asian,263.1823913
Utah,6/10/2020,AIAN,703.6181147
Utah,6/10/2020,Hispanic,1160.253996
Utah,6/14/2020,NHPI,1139.103182
Utah,6/14/2020,White,170.2550646
Utah,6/14/2020,Black,741.5082732
Utah,6/14/2020,Asian,294.4934797
Utah,6/14/2020,AIAN,746.7319698
Utah,6/14/2020,Hispanic,1310.236466
Utah,6/17/2020,NHPI,1217.454195
Utah,6/17/2020,White,182.4556407
Utah,6/17/2020,Black,777.1265745
Utah,6/17/2020,Asian,310.5721467
Utah,6/17/2020,AIAN,791.5703791
Utah,6/17/2020,Hispanic,1411.523328
Utah,6/21/2020,NHPI,1372.14722
Utah,6/21/2020,White,205.8544793
Utah,6/21/2020,Black,827.3159991
Utah,6/21/2020,Asian,339.3444981
Utah,6/21/2020,AIAN,862.2771014
Utah,6/21/2020,Hispanic,1616.910578
Utah,6/24/2020,NHPI,1470.588235
Utah,6/24/2020,White,222.8592482
Utah,6/24/2020,Black,869.4103552
Utah,6/24/2020,Asian,357.1156564
Utah,6/24/2020,AIAN,914.0137275
Utah,6/24/2020,Hispanic,1750.228328
Utah,6/28/2020,NHPI,1647.380264
Utah,6/28/2020,White,251.4424675
Utah,6/28/2020,Black,945.503999
Utah,6/28/2020,Asian,396.8892011
Utah,6/28/2020,AIAN,977.822233
Utah,6/28/2020,Hispanic,1972.713146
Utah,7/1/2020,NHPI,1739.794278
Utah,7/1/2020,White,273.1823043
Utah,7/1/2020,Black,992.4553962
Utah,7/1/2020,Asian,436.6627457
Utah,7/1/2020,AIAN,1008.864209
Utah,7/1/2020,Hispanic,2109.277271
Utah,7/5/2020,NHPI,1898.505304
Utah,7/5/2020,White,307.6411551
Utah,7/5/2020,Black,1058.834958
Utah,7/5/2020,Asian,474.7437991
Utah,7/5/2020,AIAN,1057.151726
Utah,7/5/2020,Hispanic,2291.939903
Utah,7/8/2020,NHPI,2031.099325
Utah,7/8/2020,White,336.1552494
Utah,7/8/2020,Black,1115.500437
Utah,7/8/2020,Asian,507.7473788
Utah,7/8/2020,AIAN,1098.541027
Utah,7/8/2020,Hispanic,2419.847031
Utah,7/12/2020,NHPI,2292.269367
Utah,7/12/2020,White,378.7708594
Utah,7/12/2020,Black,1209.403232
Utah,7/12/2020,Asian,550.0596603
Utah,7/12/2020,AIAN,1183.044183
Utah,7/12/2020,Hispanic,2612.681635
Utah,7/15/2020,NHPI,2422.854388
Utah,7/15/2020,White,402.7226985
Utah,7/15/2020,Black,1254.735615
Utah,7/15/2020,Asian,578.8320118
Utah,7/15/2020,AIAN,1208.912496
Utah,7/15/2020,Hispanic,2709.423574
Utah,7/19/2020,NHPI,2645.853423
Utah,7/19/2020,White,452.2853787
Utah,7/19/2020,Black,1372.923615
Utah,7/19/2020,Asian,640.6079429
Utah,7/19/2020,AIAN,1283.068327
Utah,7/19/2020,Hispanic,2925.632069
Utah,7/22/2020,NHPI,2786.483446
Utah,7/22/2020,White,477.2395315
Utah,7/22/2020,Black,1434.446135
Utah,7/22/2020,Asian,676.1502594
Utah,7/22/2020,AIAN,1326.182182
Utah,7/22/2020,Hispanic,3028.650331
Utah,7/26/2020,NHPI,2993.410479
Utah,7/26/2020,White,513.150009
Utah,7/26/2020,Black,1523.491889
Utah,7/26/2020,Asian,700.6913827
Utah,7/26/2020,AIAN,1408.960784
Utah,7/26/2020,Hispanic,3192.051146
Utah,7/29/2020,NHPI,3119.977499
Utah,7/29/2020,White,535.615659
Utah,7/29/2020,Black,1557.491176
Utah,7/29/2020,Asian,722.6937691
Utah,7/29/2020,AIAN,1441.727313
Utah,7/29/2020,Hispanic,3280.785363
Utah,8/2/2020,NHPI,3318.868531
Utah,8/2/2020,White,565.1320669
Utah,8/2/2020,Black,1628.727779
Utah,8/2/2020,Asian,761.6210681
Utah,8/2/2020,AIAN,1527.955024
Utah,8/2/2020,Hispanic,3412.804564
Utah,8/5/2020,NHPI,3473.561556
Utah,8/5/2020,White,585.7313399
Utah,8/5/2020,Black,1667.584108
Utah,8/5/2020,Asian,782.7772089
Utah,8/5/2020,AIAN,1584.865312
Utah,8/5/2020,Hispanic,3493.747484
Utah,8/9/2020,NHPI,3708.614593
Utah,8/9/2020,White,616.2500613
Utah,8/9/2020,Black,1712.916491
Utah,8/9/2020,Asian,827.6282274
Utah,8/9/2020,AIAN,1646.949264
Utah,8/9/2020,Hispanic,3609.751241
Utah,8/12/2020,NHPI,3839.199614
Utah,8/12/2020,White,631.630391
Utah,8/12/2020,Black,1735.582683
Utah,8/12/2020,Asian,844.55314
Utah,8/12/2020,AIAN,1667.643914
Utah,8/12/2020,Hispanic,3680.08934
Utah,8/16/2020,NHPI,4052.153648
Utah,8/16/2020,White,660.1790478
Utah,8/16/2020,Black,1800.343231
Utah,8/16/2020,Asian,893.6353866
Utah,8/16/2020,AIAN,1691.787673
Utah,8/16/2020,Hispanic,3777.696979
Utah,8/19/2020,NHPI,4148.585664
Utah,8/19/2020,White,677.3566294
Utah,8/19/2020,Black,1824.628436
Utah,8/19/2020,Asian,919.0227555
Utah,8/19/2020,AIAN,1719.38054
Utah,8/19/2020,Hispanic,3832.019634
Utah,8/23/2020,NHPI,4259.080681
Utah,8/23/2020,White,707.7371007
Utah,8/23/2020,Black,1866.722792
Utah,8/23/2020,Asian,959.6425458
Utah,8/23/2020,AIAN,1748.697962
Utah,8/23/2020,Hispanic,3927.895874
Utah,8/26/2020,NHPI,4331.404693
Utah,8/26/2020,White,727.4377477
Utah,8/26/2020,Black,1895.865039
Utah,8/26/2020,Asian,987.5686517
Utah,8/26/2020,AIAN,1783.189046
Utah,8/26/2020,Hispanic,3989.360551
Utah,8/30/2020,NHPI,4482.079717
Utah,8/30/2020,White,758.3020946
Utah,8/30/2020,Black,1931.48334
Utah,8/30/2020,Asian,1025.649705
Utah,8/30/2020,AIAN,1809.057359
Utah,8/30/2020,Hispanic,4083.505391
Utah,9/2/2020,NHPI,4536.322726
Utah,9/2/2020,White,779.2124303
Utah,9/2/2020,Black,1959.006573
Utah,9/2/2020,Asian,1049.344583
Utah,9/2/2020,AIAN,1833.201118
Utah,9/2/2020,Hispanic,4136.096647
Utah,9/6/2020,NHPI,4628.736741
Utah,9/6/2020,White,817.9224735
Utah,9/6/2020,Black,1989.767833
Utah,9/6/2020,Asian,1072.193215
Utah,9/6/2020,AIAN,1872.865864
Utah,9/6/2020,Hispanic,4218.338116
Utah,9/9/2020,NHPI,4656.862745
Utah,9/9/2020,White,841.4941247
Utah,9/9/2020,Black,2017.291066
Utah,9/9/2020,Asian,1093.349356
Utah,9/9/2020,AIAN,1888.386852
Utah,9/9/2020,Hispanic,4266.168024
Utah,9/13/2020,NHPI,4749.27676
Utah,9/13/2020,White,887.7733638
Utah,9/13/2020,Black,2052.909368
Utah,9/13/2020,Asian,1134.815392
