state,date,race_eth,case_rate
Washington,4/12/2020,NHPI,121.6617803
Washington,4/12/2020,White,51.37061144
Washington,4/12/2020,Black,94.46790706
Washington,4/12/2020,Asian,65.84258804
Washington,4/12/2020,AIAN,39.46785776
Washington,4/12/2020,Hispanic,118.9848375
Washington,4/15/2020,NHPI,155.5675223
Washington,4/15/2020,White,60.09459058
Washington,4/15/2020,Black,130.7514285
Washington,4/15/2020,Asian,87.74145324
Washington,4/15/2020,AIAN,80.86097688
Washington,4/15/2020,Hispanic,154.4786195
Washington,4/19/2020,NHPI,189.4732643
Washington,4/19/2020,White,65.52716989
Washington,4/19/2020,Black,151.671657
Washington,4/19/2020,Asian,100.8807724
Washington,4/19/2020,AIAN,93.37517568
Washington,4/19/2020,Hispanic,185.0315058
Washington,4/22/2020,NHPI,225.3734618
Washington,4/22/2020,White,70.53505244
Washington,4/22/2020,Black,172.5918856
Washington,4/22/2020,Asian,110.6622655
Washington,4/22/2020,AIAN,99.15095974
Washington,4/22/2020,Hispanic,222.1386415
Washington,4/26/2020,NHPI,259.2792038
Washington,4/26/2020,White,73.11862435
Washington,4/26/2020,Black,181.417607
Washington,4/26/2020,Asian,117.3779175
Washington,4/26/2020,AIAN,106.8520052
Washington,4/26/2020,Hispanic,239.8855326
Washington,4/29/2020,NHPI,329.0851433
Washington,4/29/2020,White,78.67507354
Washington,4/29/2020,Black,213.451707
Washington,4/29/2020,Asian,130.8092215
Washington,4/29/2020,AIAN,114.5530506
Washington,4/29/2020,Hispanic,278.7068567
Washington,5/3/2020,NHPI,370.968707
Washington,5/3/2020,White,82.14343036
Washington,5/3/2020,Black,230.7762712
Washington,5/3/2020,Asian,134.8970096
Washington,5/3/2020,AIAN,145.3572322
Washington,5/3/2020,Hispanic,302.1004857
Washington,5/6/2020,NHPI,398.8910828
Washington,5/6/2020,White,84.4615668
Washington,5/6/2020,Black,238.6213569
Washington,5/6/2020,Asian,138.8388054
Washington,5/6/2020,AIAN,151.1330163
Washington,5/6/2020,Hispanic,320.553219
Washington,5/10/2020,NHPI,456.7302898
Washington,5/10/2020,White,89.08014399
Washington,5/10/2020,Black,259.8684641
Washington,5/10/2020,Asian,138.1088432
Washington,5/10/2020,AIAN,123.2167267
Washington,5/10/2020,Hispanic,374.9030727
Washington,5/13/2020,NHPI,480.6637548
Washington,5/13/2020,White,92.79624058
Washington,5/13/2020,Black,268.0404283
Washington,5/13/2020,Asian,140.8826995
Washington,5/13/2020,AIAN,140.5440789
Washington,5/13/2020,Hispanic,411.4052008
Washington,5/17/2020,NHPI,500.6083089
Washington,5/17/2020,White,95.99916193
Washington,5/17/2020,Black,281.4424498
Washington,5/17/2020,Asian,146.8683893
Washington,5/17/2020,AIAN,154.983539
Washington,5/17/2020,Hispanic,446.1931406
Washington,5/20/2020,NHPI,534.5140509
Washington,5/20/2020,White,97.94568872
Washington,5/20/2020,Black,290.9219283
Washington,5/20/2020,Asian,150.5182001
Washington,5/20/2020,AIAN,165.5724765
Washington,5/20/2020,Hispanic,475.8385154
Washington,5/24/2020,NHPI,608.3089013
Washington,5/24/2020,White,100.4761735
Washington,5/24/2020,Black,307.2658569
Washington,5/24/2020,Asian,156.3578975
Washington,5/24/2020,AIAN,175.1987832
Washington,5/24/2020,Hispanic,518.7940584
Washington,5/27/2020,NHPI,702.0483057
Washington,5/27/2020,White,103.3605723
Washington,5/27/2020,Black,330.801114
Washington,5/27/2020,Asian,163.8035117
Washington,5/27/2020,AIAN,187.712982
Washington,5/27/2020,Hispanic,563.3629552
Washington,5/31/2020,NHPI,745.9263248
Washington,5/31/2020,White,105.7671873
Washington,5/31/2020,Black,336.6849283
Washington,5/31/2020,Asian,167.1613377
Washington,5/31/2020,AIAN,203.1150729
Washington,5/31/2020,Hispanic,603.0917908
Washington,6/3/2020,NHPI,805.7599872
Washington,6/3/2020,White,108.828543
Washington,6/3/2020,Black,346.818164
Washington,6/3/2020,Asian,171.2491259
Washington,6/3/2020,AIAN,211.778749
Washington,6/3/2020,Hispanic,652.8032525
Washington,6/7/2020,NHPI,889.5271146
Washington,6/7/2020,White,111.9606816
Washington,6/7/2020,Black,356.6245211
Washington,6/7/2020,Asian,175.4829065
Washington,6/7/2020,AIAN,227.1808398
Washington,6/7/2020,Hispanic,698.8846684
Washington,6/10/2020,NHPI,959.3330541
Washington,6/10/2020,White,114.1372524
Washington,6/10/2020,Black,360.8739425
Washington,6/10/2020,Asian,176.9428308
Washington,6/10/2020,AIAN,231.0313625
Washington,6/10/2020,Hispanic,730.1433969
Washington,6/14/2020,NHPI,1041.105726
Washington,6/14/2020,White,122.4188391
Washington,6/14/2020,Black,372.9684497
Washington,6/14/2020,Asian,180.008672
Washington,6/14/2020,AIAN,327.2944302
Washington,6/14/2020,Hispanic,820.3903711
Washington,6/17/2020,NHPI,1112.906121
Washington,6/17/2020,White,125.4271078
Washington,6/17/2020,Black,384.0823211
Washington,6/17/2020,Asian,181.9065736
Washington,6/17/2020,AIAN,345.5844131
Washington,6/17/2020,Hispanic,865.0601025
Washington,6/21/2020,NHPI,1182.71206
Washington,6/21/2020,White,129.1785958
Washington,6/21/2020,Black,393.8886782
Washington,6/21/2020,Asian,184.2424526
Washington,6/21/2020,AIAN,361.9491346
Washington,6/21/2020,Hispanic,894.6046426
Washington,6/24/2020,NHPI,1284.429287
Washington,6/24/2020,White,135.0181761
Washington,6/24/2020,Black,406.3100639
Washington,6/24/2020,Asian,189.0602029
Washington,6/24/2020,AIAN,385.0522708
Washington,6/24/2020,Hispanic,966.4997182
Washington,6/28/2020,NHPI,1410.079978
Washington,6/28/2020,White,143.6182854
Washington,6/28/2020,Black,428.5378068
Washington,6/28/2020,Asian,197.6737565
Washington,6/28/2020,AIAN,405.2675151
Washington,6/28/2020,Hispanic,1038.293959
Washington,7/1/2020,NHPI,1489.858194
Washington,7/1/2020,White,150.2895636
Washington,7/1/2020,Black,446.5161282
Washington,7/1/2020,Asian,206.7252875
Washington,7/1/2020,AIAN,414.8938218
Washington,7/1/2020,Hispanic,1080.644494
Washington,7/5/2020,NHPI,1563.653045
Washington,7/5/2020,White,164.800036
Washington,7/5/2020,Black,469.3976282
Washington,7/5/2020,Asian,216.0688033
Washington,7/5/2020,AIAN,424.5201286
Washington,7/5/2020,Hispanic,1159.09382
Washington,7/8/2020,NHPI,1625.481162
Washington,7/8/2020,White,171.0643131
Washington,7/8/2020,Black,483.1265282
Washington,7/8/2020,Asian,221.7625083
Washington,7/8/2020,AIAN,433.1838047
Washington,7/8/2020,Hispanic,1189.74754
Washington,7/12/2020,NHPI,1671.353637
Washington,7/12/2020,White,177.806374
Washington,7/12/2020,Black,496.8554281
Washington,7/12/2020,Asian,225.5583116
Washington,7/12/2020,AIAN,439.9222194
Washington,7/12/2020,Hispanic,1239.761506
Washington,7/15/2020,NHPI,1767.087497
Washington,7/15/2020,White,193.8740679
Washington,7/15/2020,Black,539.0227638
Washington,7/15/2020,Asian,239.4275929
Washington,7/15/2020,AIAN,464.950617
Washington,7/15/2020,Hispanic,1338.98276
Washington,7/19/2020,NHPI,1834.898981
Washington,7/19/2020,White,201.4478266
Washington,7/19/2020,Black,554.3860567
Washington,7/19/2020,Asian,245.5592751
Washington,7/19/2020,AIAN,478.4274465
Washington,7/19/2020,Hispanic,1379.215769
Washington,7/22/2020,NHPI,1900.716009
Washington,7/22/2020,White,207.11045
Washington,7/22/2020,Black,569.7493495
Washington,7/22/2020,Asian,250.3770255
Washington,7/22/2020,AIAN,489.9790147
Washington,7/22/2020,Hispanic,1410.676167
Washington,7/26/2020,NHPI,1968.527494
Washington,7/26/2020,White,227.3720243
Washington,7/26/2020,Black,622.0499209
Washington,7/26/2020,Asian,267.4581403
Washington,7/26/2020,AIAN,588.1673437
Washington,7/26/2020,Hispanic,1532.887712
Washington,7/29/2020,NHPI,2004.427691
Washington,7/29/2020,White,233.8486498
Washington,7/29/2020,Black,648.5270852
Washington,7/29/2020,Asian,272.5678755
Washington,7/29/2020,AIAN,602.6068039
Washington,7/29/2020,Hispanic,1574.229901
Washington,8/2/2020,NHPI,2090.189274
Washington,8/2/2020,White,252.8007424
Washington,8/2/2020,Black,697.5588708
Washington,8/2/2020,Asian,287.6050963
Washington,8/2/2020,AIAN,638.2241389
Washington,8/2/2020,Hispanic,1714.591675
Washington,8/5/2020,NHPI,2144.03957
Washington,8/5/2020,White,262.9226817
Washington,8/5/2020,Black,739.7262065
Washington,8/5/2020,Asian,294.7587256
Washington,8/5/2020,AIAN,669.0283206
Washington,8/5/2020,Hispanic,1771.865733
Washington,8/9/2020,NHPI,2191.9065
Washington,8/9/2020,White,272.1421403
Washington,8/9/2020,Black,770.4527922
Washington,8/9/2020,Asian,301.3283852
Washington,8/9/2020,AIAN,663.2525365
Washington,8/9/2020,Hispanic,1812.602914
Washington,8/12/2020,NHPI,2235.784519
Washington,8/12/2020,White,281.3792947
Washington,8/12/2020,Black,807.0631922
Washington,8/12/2020,Asian,306.7301052
Washington,8/12/2020,AIAN,684.4304114
Washington,8/12/2020,Hispanic,1851.0209
